ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,StartDate,EndDate,IsSoleOwner,Location,PropertyDescription,PropertyOwnerDetails,RentalIncomeDetails,RentalIncomeStartDate,RentalIncomeEndDate,NumberOfProperties,IsLand,IsAnyRentalIncomePaidToAnotherPerson,Country,LandUse,PropertyType,Link_1
10823,,Property in London,2024-09-27,2024-09-27,,Land and property (within or outside the UK),Rachel Reeves,4031,09/09/2024,,False,London,House,Co-owned with a family member.,The rental income is paid jointly to my partner and me.,09/09/2024,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/10823
5985,,Property in London,2024-08-07,2024-09-02,,Land and property (within or outside the UK),Lincoln Jopp,5332,,,False,London,House,owned with my wife,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/5985
9224,,Property in Tandridge,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Nigel Farage,5091,,,True,Tandridge,,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9224
6373,,Property in Cheltenham,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Sarah Smith,5117,,,True,Cheltenham,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6373
10229,,Property in Plymouth,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Ben Maguire,5350,,,False,Plymouth,Terraced House,co-owned with family member through limited company Maguire Cervantes Property Limited. This is the only property I own and the only property Maguire Cervantes Property Limited owns.,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/10229
9222,,Property in Folkestone and Hythe,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Nigel Farage,5091,,,True,Folkestone and Hythe,House,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9222
9547,,Property in Somerset,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Tessa Munt,4089,,,True,Somerset,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9547
9769,,"Property in Newcastle, Leicester, Gainford",2024-08-03,2024-08-04,,Land and property (within or outside the UK),Shivani Raja,5068,,,True,"Newcastle, Leicester, Gainford",House,,,,,3,False,False,United Kingdom,,Commercial,https://interests-api.parliament.uk/api/v1/Interests/9769
9948,,Property in Sandwell and Birmingham,2024-08-03,2024-08-04,,Land and property (within or outside the UK),Gurinder Singh Josan,5059,,,False,Sandwell and Birmingham,,All properties are co-owned with family members,Rental income is paid to all co-owners of the respective property,,,5,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9948
10198,,Property in London,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Mr Bayo Alaba,5097,,,False,London,flat,Co-owned with family member,,,,7,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/10198
