ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,RegularityOfPayment,StartDate,EndDate,PeriodForHoursWorked,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link_1
10437,8967,"Agreement - £1,023.00",2024-08-13,2024-08-28,,Employment and earnings - Ongoing paid employment,James Naish,5047,Yearly,,,Monthly,,In kind,Company vehicle,1023.00,5.00,this time is for supporting the business in a director capacity.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10437
6104,6102,"Agreement - £2,223.83",2024-07-11,2024-08-28,2024-08-20,Employment and earnings - Ongoing paid employment,Graham Leadbitter,5277,Monthly,,13/08/2024,Weekly,,Monetary,,2223.83,37.50,Hours are approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6104
8441,8440,"Agreement starting 01 September 2024 - £5,000.00",2024-07-31,2024-08-04,2024-10-15,Employment and earnings - Ongoing paid employment,George Freeman,4020,Monthly,01/09/2024,,Monthly,,Monetary,,5000.00,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8441
5422,5421,"Agreement starting 02 September 2024 - £2,000.00",2024-07-31,2024-08-04,2024-10-15,Employment and earnings - Ongoing paid employment,George Freeman,4020,Monthly,02/09/2024,30/09/2024,Monthly,,Monetary,"Payment was not received, as the contract was terminated in September 2024.",2000.00,8.00,Contract terminated in September 2024.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5422
9523,9521,"Agreement - £8,000.00",2024-08-02,2024-08-04,2024-10-12,Employment and earnings - Ongoing paid employment,Michael Payne,5146,Yearly,,15/10/2024,Weekly,,Monetary,Honorarium paid for the role of Chair of the LGiU Board and is a yearly payment paid quarterly. *No longer remunerated for this role from 15 October 2024.,8000.00,5.00,this is an approximate number. I am resigning as Chair of the Board of Trustees of the Local Government Information Unit (LGiU) on 15 October 2024 and will therefore no longer be remunerated for this role.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9523
10201,8155,"Agreement starting 04 May 2012 - £2,449.13",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Lillian Jones,5043,Monthly,04/05/2012,31/07/2024,Weekly,,Monetary,Approximate,2449.13,30.00,Approximately,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10201
7290,7268,"Agreement - £2,405.54",2024-07-24,2024-08-04,,Employment and earnings - Ongoing paid employment,Connor Naismith,5273,Monthly,,25/07/2024,Weekly,,Monetary,Regular salary payment,2405.54,37.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7290
9533,9527,"Agreement - £29,831.16",2024-08-02,2024-08-04,2024-10-14,Employment and earnings - Ongoing paid employment,Michael Payne,5146,Yearly,,27/09/2024,Weekly,,Monetary,"total combined allowance for the roles of Chair and Member of Nottinghamshire & City of Nottingham Fire Authority, which is paid monthly.",29831.16,30.00,this is an approximate number.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9533
6885,6078,"Agreement starting 01 February 2016 - £5,953.34",2024-07-22,2024-08-04,2024-09-19,Employment and earnings - Ongoing paid employment,Luke Taylor,5103,Monthly,01/02/2016,05/10/2024,Weekly,,Monetary,,5953.34,32.00,Minimum contracted hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6885
8644,8641,Agreement starting 30 June 2023 - £657.92,2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,Ian Roome,5138,Monthly,30/06/2023,,Weekly,,Monetary,"I receive and SRA for being the Chair of the Audit Committee (intending to stand down in September) - this role is representing Devon County Council on the Board of Members ,",657.92,3.00,hours worked vary depending on committee business and research needed for the role.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8644
9697,7380,"Agreement - £16,512.00",2024-08-03,2024-08-04,2024-10-14,Employment and earnings - Ongoing paid employment,Michelle Welsh,5226,Yearly,,27/09/2024,Monthly,,Monetary,"allowance, paid monthly",16512.00,120.00,Estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9697
8019,8018,"Agreement - £1,024.93",2024-08-02,2024-08-04,,Employment and earnings - Ongoing paid employment,Emily Darlington,5139,Monthly,,,Weekly,,Monetary,,1024.93,15.00,approx.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8019
9010,9003,"Agreement - £3,000.00",2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,James Naish,5047,Yearly,,,Monthly,,In kind,My family and I stay in the property owned by the company for up to 14 days per year,3000.00,5.00,This time is required for managing the property and its agent who looks after bookings.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9010
8717,8713,"Agreement - £1,530.66",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Andrew George,227,Monthly,,01/05/2025,Monthly,,Monetary,,1530.66,68.00,I've reduced the hours worked since being elected as MP,False,,False,,,True,Donated by the Member to the recipient,Community organisation,,https://interests-api.parliament.uk/api/v1/Interests/8717
10203,10178,"Agreement - £7,720.87",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Ben Maguire,5350,Monthly,,09/08/2024,Weekly,,Monetary,I sometimes received a small additional and variable bonus payment,7720.87,37.50,These are my regular contracted hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10203
8635,8631,"Agreement - £1,256.00",2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,Ian Roome,5138,Monthly,,,Monthly,,Monetary,,1256.00,40.00,estimate of hours worked as it depends on casework.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8635
8331,8327,"Agreement - £1,256.81",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Kenneth Stevenson,5200,Monthly,,,Weekly,,Monetary,,1256.81,25.00,(estimated).,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8331
8912,8909,"Agreement - £4,000.00",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Nigel Farage,5091,Monthly,,,Monthly,,Monetary,approx.,4000.00,16.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8912
8906,8904,"Agreement - £1,263.00",2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,Rebecca Smith,5301,Monthly,,08/08/2024,Weekly,,Monetary,,1263.00,15.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8906
9059,9057,Agreement - £965.66,2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,Mr Lee Dillon,5310,Monthly,,,Weekly,,Monetary,,965.66,15.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9059
7641,7640,"Agreement - £3,037.37",2024-07-29,2024-08-04,,Employment and earnings - Ongoing paid employment,Darren Paffey,5270,Monthly,,04/07/2024,Weekly,,Monetary,,3037.37,37.50,Final payment of salary,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7641
10028,6871,"Agreement - £1,449.42",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Amanda Hack,5149,Monthly,,31/07/2024,Monthly,,Monetary,Allowance for being a County Councillor,1449.42,40.00,"As a County Councillor, hours worked varies from week to week.",False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10028
9076,9069,"Agreement - £1,600.00",2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,James Naish,5047,Monthly,,05/07/2024,Weekly,,Monetary,This is an estimate,1600.00,20.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9076
10100,10097,Agreement - £416.00,2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Jess Brown-Fuller,5335,Monthly,,,Monthly,,Monetary,Standard Councillor allowance,416.00,20.00,Estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10100
10157,10153,"Agreement - £2,463.56",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Kirith Entwistle,5095,Monthly,,20/05/2024,Weekly,,Monetary,Approx.,2463.56,30.00,maximum hours worked weekly.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10157
9520,9483,"Agreement starting 05 May 2017 - £15,500.00",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Tessa Munt,4089,Yearly,05/05/2017,,Weekly,,Monetary,,15500.00,15.00,approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9520
7907,4836,Agreement starting 18 July 2024 - £500.00,2024-07-24,2024-08-04,,Employment and earnings - Ongoing paid employment,Mark Garnier,4074,Quarterly,18/07/2024,,Quarterly,,Monetary,Payment for extra work as independent NED at Super Sharp Space Systems,500.00,10.00,approximate,False,,False,,,True,Paid direct to the recipient by the payer,Other,Kemyel Ltd,https://interests-api.parliament.uk/api/v1/Interests/7907
8570,8539,"Agreement - £1,976.39",2024-07-31,2024-08-04,,Employment and earnings - Ongoing paid employment,Dr Lauren Sullivan,5269,Monthly,,01/08/2024,Weekly,,Monetary,,1976.39,16.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8570
9831,9829,Agreement starting 04 July 2024 - £710.00,2024-08-03,2024-08-04,,Employment and earnings - Ongoing paid employment,Shaun Davies,5041,Monthly,04/07/2024,,Monthly,,Monetary,,710.00,15.00,approximately,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9831
7701,6354,Agreement - £756.25,2024-07-29,2024-08-04,,Employment and earnings - Ongoing paid employment,Mr Joshua Reynolds,5343,Monthly,,,Weekly,,Monetary,,756.25,10.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7701
7328,7327,Agreement starting 03 May 2023 - £436.54,2024-07-25,2024-08-04,,Employment and earnings - Ongoing paid employment,Rachel Taylor,5065,Monthly,03/05/2023,05/07/2024,Monthly,,Monetary,,436.54,25.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7328
7355,7013,"Agreement - £1,322.42",2024-07-25,2024-08-04,,Employment and earnings - Ongoing paid employment,Sarah Gibson,5239,Monthly,,,Weekly,,Monetary,Amount is approximate.,1322.42,5.00,"This is a set allowance, rather than a salary.",False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7355
9930,9916,Agreement - £527.00,2024-08-03,2024-08-04,,Employment and earnings - Ongoing paid employment,Pippa Heylings,5078,Monthly,,,Weekly,,Monetary,,527.00,10.00,Approximate number of hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9930
9851,9849,"Agreement - £5,771.99",2024-08-03,2024-08-04,,Employment and earnings - Ongoing paid employment,Callum Anderson,5193,Monthly,,05/07/2024,Weekly,,Monetary,,5771.99,40.00,Final payment of salary up to and including the date of the 2024 general election.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9851
7061,7043,"Agreement - £1,180.00",2024-07-25,2024-08-04,,Employment and earnings - Ongoing paid employment,Rebecca Paul,5297,Monthly,,,Monthly,,Monetary,,1180.00,32.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7061
8628,8623,Agreement - £901.15,2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,Ian Roome,5138,Monthly,,,Monthly,,Monetary,this payment includes a SRA for being Leader (going forward I will not receive this SRA),901.15,20.00,this is an estimate of hours as it depends on casework.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8628
7528,7265,Agreement starting 05 May 2023 - £462.59,2024-07-26,2024-08-04,2024-09-19,Employment and earnings - Ongoing paid employment,Sojan Joseph,5247,Monthly,05/05/2023,06/09/2024,Weekly,,Monetary,It varies every month depending on the expenses and number of council meetings.,462.59,6.00,approximated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7528
10212,8158,"Agreement starting 04 July 2007 - £3,280.00",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Lillian Jones,5043,Monthly,04/07/2007,04/07/2024,Weekly,,Monetary,Approximate,3280.00,37.00,Maximum,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10212
7339,7336,Agreement - £852.90,2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,Deirdre Costigan,5075,Monthly,,15/07/2024,Weekly,,Monetary,,852.90,35.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7339
8910,8907,Agreement - £997.00,2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,Rebecca Smith,5301,Monthly,,,Weekly,,Monetary,,997.00,15.00,this is estimated. Overlapping between role of Councillor and becoming MP.,False,,False,,,True,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/8910
7746,7745,"Agreement - £8,750.00",2024-07-29,2024-08-04,2024-09-04,Employment and earnings - Ongoing paid employment,Jack Rankin,5340,Monthly,,31/08/2024,Monthly,,Monetary,,8750.00,20.00,Approximate time spent handing-over during my notice period.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7746
6170,6168,"Agreement - £12,469.00",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Steff Aquarone,5164,Yearly,,,Yearly,,Monetary,,12469.00,0.00,No specific contracted hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6170
8288,8284,"Agreement - £2,271.84",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Lloyd Hatton,5217,Monthly,,10/07/2024,Weekly,,Monetary,,2271.84,10.00,Estimated hours.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8288
7676,7521,"Agreement - £1,000.00",2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,David Williams,5151,Monthly,,,Monthly,,Monetary,The payment will be ceased from August onwards; I am also going to repay the allowance received in July.,1000.00,60.00,This is estimated and varies,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7676
8220,7361,Agreement - £694.17,2024-07-30,2024-08-04,,Employment and earnings - Ongoing paid employment,Mr Jonathan Brash,5045,Monthly,,08/08/2024,Monthly,,Monetary,,694.17,20.00,approx.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8220
8311,8273,Agreement starting 25 September 2024 - £650.18,2024-08-01,2024-08-04,2024-09-30,Employment and earnings - Ongoing paid employment,Charlotte Cane,5182,Monthly,25/09/2024,,Monthly,,Monetary,,650.18,40.00,approx.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8311
9721,9710,"Agreement - £4,654.00",2024-08-02,2024-08-04,2024-10-14,Employment and earnings - Ongoing paid employment,Michelle Welsh,5226,Yearly,,25/09/2024,Weekly,,Monetary,"allowance, paid monthly",4654.00,25.00,Estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9721
7077,7074,Agreement - £841.13,2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,Joe Robertson,5255,Monthly,,,Monthly,,Monetary,,841.13,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7077
8281,8277,"Agreement - £1,826.94",2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Lloyd Hatton,5217,Monthly,,26/07/2024,Weekly,,Monetary,,1826.94,38.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8281
9836,9835,Agreement - £250.00,2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Mr Adnan Hussain,5231,Monthly,,,Weekly,,Monetary,,250.00,1.00,approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9836
8313,4017,Agreement - £300.00,2024-07-30,2024-08-04,,Employment and earnings - Ongoing paid employment,Paulette Hamilton,4938,Monthly,,,Monthly,,Monetary,,300.00,10.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8313
9926,9909,"Agreement starting 10 April 2013 - £1,047.50",2024-08-03,2024-08-04,,Employment and earnings - Ongoing paid employment,Pippa Heylings,5078,Monthly,10/04/2013,02/08/2024,Weekly,,Monetary,,1047.50,30.00,Number of hours worked is approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9926
10264,6111,Agreement - £619.50,2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,Peter Lamb,5345,Monthly,,,Monthly,,Monetary,,619.50,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10264
8810,8764,Agreement starting 02 May 2023 - £416.83,2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,James MacCleary,5265,Monthly,02/05/2023,06/05/2027,Monthly,,Monetary,,416.83,20.00,Hours worked is an estimate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8810
7639,7633,"Agreement - £3,126.23",2024-08-02,2024-08-04,,Employment and earnings - Ongoing paid employment,Baggy Shanker,5176,Monthly,,,Weekly,,Monetary,,3126.23,25.00,(estimated hours),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7639
9214,8070,"Agreement - £1,778.75",2024-08-03,2024-08-04,,Employment and earnings - Ongoing paid employment,Elaine Stewart,5206,Monthly,,22/08/2024,Weekly,,Monetary,final payment for this role,1778.75,25.00,(estimated),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9214
8794,6646,"Agreement - £1,001.17",2024-08-03,2024-08-03,,Employment and earnings - Ongoing paid employment,Mr Paul Kohler,5321,Monthly,,,Weekly,,Monetary,,1001.17,10.00,approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8794
8524,8523,"Agreement - £5,000.00",2024-08-03,2024-08-03,,Employment and earnings - Ongoing paid employment,Tim Roca,5287,Monthly,,22/07/2024,Weekly,,Monetary,estimated,5000.00,35.00,estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8524
9197,6036,"Agreement - £5,569.00",2024-08-02,2024-08-02,2024-10-21,Employment and earnings - Ongoing paid employment,Dr Al Pinkerton,5288,Monthly,,03/09/2024,Weekly,,Monetary,this is the average monthly gross salary over the period June 2023-July 2024,5569.00,40.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9197
8969,6136,"Agreement - £4,862.25",2024-08-02,2024-08-02,,Employment and earnings - Ongoing paid employment,Georgia Gould,5305,Monthly,,11/07/2024,Monthly,,Monetary,I have included the total pay on my last payslip but Camden overpaid by 1590.09 so this amount will be returned.,4862.25,50.00,This is an average for a normal month but I only had this role for 5 days after I was elected as an MP and I was on leave during this period,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8969
7015,7008,"Agreement - £17,620.80",2024-08-02,2024-08-02,2024-10-14,Employment and earnings - Ongoing paid employment,Michael Payne,5146,Yearly,,25/09/2024,Weekly,,Monetary,"this is a combined allowance for the roles of Gedling Borough Councillor and Deputy Leader of Gedling Borough Council, which is paid monthly.",17620.80,30.00,this is an approximate number.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7015
6851,6850,"Agreement - £1,322.42",2024-08-02,2024-08-02,,Employment and earnings - Ongoing paid employment,Brian Mathew,5214,Monthly,,,Weekly,,Monetary,,1322.42,30.00,Estimated as no contracted hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6851
9714,6397,"Agreement - £22,000.00",2024-08-02,2024-08-02,2024-09-06,Employment and earnings - Ongoing paid employment,Dr Beccy Cooper,5307,Monthly,,05/07/2024,Weekly,,Monetary,This is the annual allowance I received as Worthing Council Leader before tax,22000.00,50.00,approx.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9714
6765,6764,"Agreement - £1,113.00",2024-08-02,2024-08-02,,Employment and earnings - Ongoing paid employment,Calum Miller,5346,Monthly,,,Weekly,,Monetary,,1113.00,10.00,This is an estimate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6765
8073,8071,Agreement starting 17 July 2023 - £119.52,2024-08-02,2024-08-02,,Employment and earnings - Ongoing paid employment,Bobby Dean,5083,Monthly,17/07/2023,17/07/2024,Monthly,,Monetary,,119.52,5.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8073
9625,6326,Agreement - £933.86,2024-08-02,2024-08-02,,Employment and earnings - Ongoing paid employment,Jayne Kirkham,5279,Monthly,,09/07/2024,Weekly,,Monetary,"Final payment. On election, I asked the council to stop the allowance.",933.86,40.00,councillors' allowance so amount of time varies,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9625
