ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,AroseOn,EndDate,DonorName,Description,MiscellaneousInterestType,Link_1
11051,,"Member of the Advisory Council, Sea Power Laboratory at the Council on Geostrategy.  This is an unpaid role",2024-10-22,2024-10-23,,Miscellaneous,Mrs Emma Lewell-Buck,4277,22/10/2024,,,"Member of the Advisory Council, Sea Power Laboratory at the Council on Geostrategy.  This is an unpaid role",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11051
11052,,Patron of NAIRO - National Association of Independent Reviewing Officers. This is an unpaid role.,2024-10-22,2024-10-23,,Miscellaneous,Mrs Emma Lewell-Buck,4277,15/05/2019,,,Patron of NAIRO - National Association of Independent Reviewing Officers. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11052
11053,,Patron of Forward Assist - a military veterans charity,2024-10-22,2024-10-23,,Miscellaneous,Mrs Emma Lewell-Buck,4277,01/01/2018,,,Patron of Forward Assist - a military veterans charity,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11053
11034,,Unpaid Director of The Fife Carers Centre (registered company number: SC282309),2024-10-18,2024-10-21,,Miscellaneous,Wendy Chamberlain,4765,17/10/2024,,,Unpaid Director of The Fife Carers Centre (registered company number: SC282309),Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11034
9772,,Elected Councillor on Fleetwood Town Council. This is an unpaid role,2024-10-18,2024-10-21,,Miscellaneous,Lorraine Beavers,5232,05/07/2024,05/07/2025,,Elected Councillor on Fleetwood Town Council. This is an unpaid role,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9772
11038,,"Unpaid director of Alto Energy, (wholesale of hardware, plumbing and heating equipment and supplies)",2024-10-18,2024-10-18,,Miscellaneous,Rupert Lowe,5158,,,,"Unpaid director of Alto Energy, (wholesale of hardware, plumbing and heating equipment and supplies)",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11038
11039,,Unpaid director of Scarabus (other sports activities),2024-10-18,2024-10-18,,Miscellaneous,Rupert Lowe,5158,,,,Unpaid director of Scarabus (other sports activities),Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11039
11011,,"Parliamentary Chair of Labour Digital, a members' association for those with an interest in technology. This is an unpaid role.",2024-10-15,2024-10-16,,Miscellaneous,Josh Simons,5060,23/09/2023,,,"Parliamentary Chair of Labour Digital, a members' association for those with an interest in technology. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11011
1928,,"Member (unpaid) of the Financial Inclusion Commission, a cross-party organisation which supports the principle of increased financial inclusion in the UK.",2022-03-21,2024-10-14,2024-10-12,Miscellaneous,Seema Malhotra,4253,01/12/2018,16/09/2024,,"Member (unpaid) of the Financial Inclusion Commission, a cross-party organisation which supports the principle of increased financial inclusion in the UK.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1928
10989,,"Donation in kind - Loan of clothing. At the time of registration, the estimated value of the item is below the registerable threshold",2024-10-11,2024-10-11,,Miscellaneous,Lisa Nandy,4082,20/09/2024,,The 223 Agency,"Donation in kind - Loan of clothing. At the time of registration, the estimated value of the item is below the registerable threshold",Other,https://interests-api.parliament.uk/api/v1/Interests/10989
6667,,Director of Stirling Technology Projects Ltd. This is an unpaid role.,2024-07-29,2024-10-10,2024-10-09,Miscellaneous,Chris Kane,5155,,24/09/2024,,Director of Stirling Technology Projects Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6667
10983,,Unpaid director of Futebol De Salao.,2024-10-10,2024-10-10,,Miscellaneous,Rupert Lowe,5158,,,,Unpaid director of Futebol De Salao.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10983
10981,,Unpaid director of Biopharma Process Systems Limited.,2024-10-10,2024-10-10,,Miscellaneous,Rupert Lowe,5158,,,,Unpaid director of Biopharma Process Systems Limited.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10981
