ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerNatureOfBusiness,PayerPublicAddress,HasSoughtAcobaAdvice,Link,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7
11847,Speaking engagements (Speech and workshop) - The Improvement and Development Agency (IDeA) for Local Government,,2025-02-21,2025-02-21,,Employment and earnings,4764,Bell Ribeiro-Addy,Speaking engagements (Speech and workshop),2024-10-20,,False,The Improvement and Development Agency (IDeA) for Local Government,False,False,,"18 Smith Square, London SW1P 3HZ",False,https://interests-api.parliament.uk/api/v1/Interests/11847,,,,,,
11842,Advisor to the Board of Trustees - The Guy Foundation Family Trust,,2025-02-20,2025-02-20,,Employment and earnings,4020,George Freeman,Advisor to the Board of Trustees,2025-02-14,,False,The Guy Foundation Family Trust,False,False,"A UK-based charitable foundation established in 2018 to facilitate thinking and research on the role of quantum mechanics and thermodynamics in living systems, with the ultimate goal of using this understanding to advance healthcare. The Foundation has not previously received government funding.","The Estate Office, Chedington Court, Chedington, Beaminster DT8 3HY",True,https://interests-api.parliament.uk/api/v1/Interests/11842,,,,,,
11826,"William C. Edwards Distinguished Visiting Fellow at the Hoover Institution, Stanford University - Hoover Institution",,2025-02-18,2025-02-18,,Employment and earnings,4483,Rishi Sunak,"William C. Edwards Distinguished Visiting Fellow at the Hoover Institution, Stanford University",2025-01-21,,False,Hoover Institution,False,False,,"434 Galvez Mall Stanford University Stanford, CA 94305-6003",True,https://interests-api.parliament.uk/api/v1/Interests/11826,,,,,,
11814,Library copyright fees - Public Lending Right,,2025-02-17,2025-02-17,,Employment and earnings,4504,Wes Streeting,Library copyright fees,,,False,Public Lending Right,False,False,,"British Library, Boston Spa, Wetherby LS23 7BQ",,https://interests-api.parliament.uk/api/v1/Interests/11814,,,,,,
11770,Writing a book - HarperCollins Publishing,,2025-02-07,2025-02-10,,Employment and earnings,188,Ed Davey,Writing a book,,,False,HarperCollins Publishing,False,False,Publishing company,"The News Building, 1 London Bridge Street, London SE1 9GF",,https://interests-api.parliament.uk/api/v1/Interests/11770,,,,,,
11767,Writing articles - Telegraph Media Group Limited,,2025-02-06,2025-02-06,,Employment and earnings,4462,Tom Tugendhat,Writing articles,2025-01-28,,False,Telegraph Media Group Limited,False,False,Newspaper,"111 Buckingham Palace Road, London SW1W 0DT",,https://interests-api.parliament.uk/api/v1/Interests/11767,,,,,,
11736,Guest presenting LBC Radio programme - Global Media and Entertainment Ltd,,2025-01-30,2025-01-30,,Employment and earnings,1572,Jeremy Hunt,Guest presenting LBC Radio programme,,2025-01-03,True,Global Media and Entertainment Ltd,False,False,Media and entertainment company,"30 Leicester Square, London WC2H 7LA",False,https://interests-api.parliament.uk/api/v1/Interests/11736,,,,,,
11729,Chair - International Finance Facility for Education,,2025-01-28,2025-01-29,,Employment and earnings,4118,Sir Julian Smith,Chair,2025-01-28,,False,International Finance Facility for Education,False,True,IFFED is a Geneva-based foundation providing a financing engine for global education.,"Route de Chene 30A, c/o L&S Trust Services SA, 1208 Geneve",,https://interests-api.parliament.uk/api/v1/Interests/11729,,,,,,
11698,Payment of an amount owing from previous role as EY partner (that ended in May 2024 prior to my election) - EY,,2025-01-29,2025-01-29,,Employment and earnings,5360,David Pinto-Duschinsky,Payment of an amount owing from previous role as EY partner (that ended in May 2024 prior to my election),,2024-05-22,True,EY,False,False,EY is a major global audit and consulting firm,"1 More London Place, London SE1 2AF",,https://interests-api.parliament.uk/api/v1/Interests/11698,,,,,,
11719,Writing - News Corp UK & Ireland Limited,,2025-01-28,2025-01-28,,Employment and earnings,4462,Tom Tugendhat,Writing,,,False,News Corp UK & Ireland Limited,False,False,Journalism,"1 London Bridge Street, London, SE1 9GF",,https://interests-api.parliament.uk/api/v1/Interests/11719,,,,,,
