ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,ShareholdingThreshold,RegistrableDate,EndDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy
7750,,Shares in Urban Property Management Ltd,03/08/2024,04/08/2024,,Shareholdings,Alison Taylor,5093,(i) Shareholdings: over 15% of issued share capital,,,Urban Property Management Ltd,,,
9795,,Shares in JMT Holdco Ltd,03/08/2024,04/08/2024,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,,,JMT Holdco Ltd,Holding Company for investment activities,,
7482,,Shares in Onit Events Ltd,04/08/2024,04/08/2024,,Shareholdings,Mr Bayo Alaba,5097,(i) Shareholdings: over 15% of issued share capital,,,Onit Events Ltd,Events Consultancy,,DelegatedManagementCompany
7488,,Shares in StreetFestLive Ltd,04/08/2024,04/08/2024,,Shareholdings,Mr Bayo Alaba,5097,(i) Shareholdings: over 15% of issued share capital,,,StreetFestLive Ltd,Lifestyle media company,,
7490,,Shares in Alaba Properties,04/08/2024,04/08/2024,,Shareholdings,Mr Bayo Alaba,5097,(i) Shareholdings: over 15% of issued share capital,,,Alaba Properties,Real estate company,,
7810,,Shares in Cavendish Consulting Limited,28/08/2024,04/08/2024,,Shareholdings,Jen Craft,5056,"(ii) Other shareholdings, valued at more than £70,000",,,Cavendish Consulting Limited,,Held by my spouse,
8254,,Shares in BDA Partners,01/08/2024,04/08/2024,,Shareholdings,Charlie Maynard,5325,(i) Shareholdings: over 15% of issued share capital,,,BDA Partners,Asia focussed advisory firm,,
8401,,Shares in Babylon Bars (London) Ltd,02/08/2024,04/08/2024,,Shareholdings,Mr Paul Kohler,5321,(i) Shareholdings: over 15% of issued share capital,,,Babylon Bars (London) Ltd,Hospitality,,
8944,,Shares in AEC Ltd,01/08/2024,04/08/2024,,Shareholdings,Mr Gideon Amos,5250,(i) Shareholdings: over 15% of issued share capital,,,AEC Ltd,Chartered Architects & Town Planners,,
8946,,Shares in French Weir Affordable Homes LLP,01/08/2024,04/08/2024,,Shareholdings,Mr Gideon Amos,5250,(i) Shareholdings: over 15% of issued share capital,,,French Weir Affordable Homes LLP,,,
8994,,Shares in Open Door Property Ltd,01/08/2024,04/08/2024,,Shareholdings,James Naish,5047,(i) Shareholdings: over 15% of issued share capital,,,Open Door Property Ltd,Property sales and consulting,,
8996,,Shares in Open Door Property Holidays Ltd,01/08/2024,04/08/2024,,Shareholdings,James Naish,5047,(i) Shareholdings: over 15% of issued share capital,,,Open Door Property Holidays Ltd,Holiday rental property,,
9055,,Shares in The William Arthur Robinson Will Trust,01/08/2024,04/08/2024,,Shareholdings,James Naish,5047,(i) Shareholdings: over 15% of issued share capital,,,The William Arthur Robinson Will Trust,Trust associated with farm land and buildings left by a relative,,Trust
9058,,Shares in African Dreams Ltd,01/08/2024,04/08/2024,,Shareholdings,Sam Rushworth,5108,(i) Shareholdings: over 15% of issued share capital,,,African Dreams Ltd,,,
9155,,Shares in What'sNextCommunicationsLTD,01/08/2024,04/08/2024,,Shareholdings,Chris Bloore,5109,(i) Shareholdings: over 15% of issued share capital,,,What'sNextCommunicationsLTD,Consultancy firm offering training and communications services,,
9213,,Shares in Talking Transformation Ltd,03/08/2024,04/08/2024,,Shareholdings,Pippa Heylings,5078,(i) Shareholdings: over 15% of issued share capital,,29/07/2024,Talking Transformation Ltd,"Consultancy company, specialising in facilitation, dialogue and conflict management around environment and development issues, mainly working internationally.",,
9253,,Shares in [redacted] RTM Company Limited,02/08/2024,04/08/2024,,Shareholdings,Joani Reid,5079,(i) Shareholdings: over 15% of issued share capital,,,[redacted] RTM Company Limited,Residents property management company,,
9339,,Shares in The Katie Lam Company,02/08/2024,04/08/2024,,Shareholdings,Katie Lam,5285,(i) Shareholdings: over 15% of issued share capital,,,The Katie Lam Company,Very small company that is the vehicle for my theatrical work.,,
9398,,Shares in Tremoge Farm Ltd,02/08/2024,04/08/2024,,Shareholdings,Mr Cathal Mallaghan,5153,(i) Shareholdings: over 15% of issued share capital,01/06/2018,,Tremoge Farm Ltd,Agri Food,Jointly with Spouse,
10236,,Shares in Maguire Cervantes Property Limited,04/08/2024,04/08/2024,,Shareholdings,Ben Maguire,5350,(i) Shareholdings: over 15% of issued share capital,,,Maguire Cervantes Property Limited,It is a holding company for one let residential property which is already registered  under Category 6,Jointly with my spouse,
10147,,Shares in Limina Group ltd,04/08/2024,04/08/2024,,Shareholdings,Sarah Smith,5117,(i) Shareholdings: over 15% of issued share capital,,,Limina Group ltd,Consultancy business,Jointly with my husband,
10016,,Shares in Labour Networks Ltd (a dormant company),03/08/2024,04/08/2024,,Shareholdings,Lewis Atkinson,5028,(i) Shareholdings: over 15% of issued share capital,,,Labour Networks Ltd (a dormant company),Communications with Labour Party members,,
9863,,Shares in One Nine Seven Investments Ltd,03/08/2024,04/08/2024,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,One Nine Seven Investments Ltd,Real estate,,
9834,,Shares in A & H Bros (& Others) Investments Limited,03/08/2024,04/08/2024,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,A & H Bros (& Others) Investments Limited,Real estate,,
9833,,Shares in Clarity Legal Ltd,03/08/2024,04/08/2024,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,Clarity Legal Ltd,Rental company,,
9830,,Shares in CHNA Ltd,03/08/2024,04/08/2024,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,CHNA Ltd,Real estate,,
9822,,Shares in Getting to Win Ltd.,03/08/2024,04/08/2024,,Shareholdings,Steff Aquarone,5164,(i) Shareholdings: over 15% of issued share capital,,,Getting to Win Ltd.,Political campaign support services,,
9818,,Shares in London Trading One Ltd.,03/08/2024,04/08/2024,,Shareholdings,Steff Aquarone,5164,(i) Shareholdings: over 15% of issued share capital,,,London Trading One Ltd.,General commercial consultancy and business activities of a non-political nature,,
9800,,Shares in Quidnet Capital Partners LLP,03/08/2024,04/08/2024,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,04/07/2024,,Quidnet Capital Partners LLP,Property company,,
9799,,Shares in Enjoyouretirement Ltd,03/08/2024,04/08/2024,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,,,Enjoyouretirement Ltd,Property company,,
9797,,Shares in Britain Means Business Ltd,03/08/2024,04/08/2024,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,,,Britain Means Business Ltd,Consultancy business,,
9712,,Shares in Orion Estates and Investments Ltd,03/08/2024,04/08/2024,,Shareholdings,Alison Taylor,5093,(i) Shareholdings: over 15% of issued share capital,,,Orion Estates and Investments Ltd,Investment and development of commercial property and asset management,jointly with my spouse and father,
9715,,Shares in Rubicon Land Ltd,03/08/2024,04/08/2024,,Shareholdings,Alison Taylor,5093,"(ii) Other shareholdings, valued at more than £70,000",,,Rubicon Land Ltd,"Commercial property development company, land trading ( including residential), energy storage projects, asset management and property investment in various sectors.",Jointly with my spouse and external shareholders,
9819,,Shares in Mango Online Learning Development Solutions Limited,03/08/2024,04/08/2024,,Shareholdings,Steff Aquarone,5164,(i) Shareholdings: over 15% of issued share capital,,,Mango Online Learning Development Solutions Limited,,with my spouse,
10005,,Shares in Home Grown Life Ltd,03/08/2024,04/08/2024,,Shareholdings,Victoria Collins,5201,(i) Shareholdings: over 15% of issued share capital,,,Home Grown Life Ltd,"Online gardening products, promoting urban gardening.",,
9255,,Shares in Reid Strategy Limited,02/08/2024,04/08/2024,,Shareholdings,Joani Reid,5079,(i) Shareholdings: over 15% of issued share capital,,,Reid Strategy Limited,"Personal service company (no longer trading), in the process of being wound up.",,
9709,,Shares in Orion Developments and Investments Ltd,03/08/2024,04/08/2024,,Shareholdings,Alison Taylor,5093,(i) Shareholdings: over 15% of issued share capital,,,Orion Developments and Investments Ltd,Commercial Property and development company/asset management activities,jointly with my spouse and father,
8399,,Shares in Babylon Bars Ltd,03/08/2024,03/08/2024,,Shareholdings,Mr Paul Kohler,5321,(i) Shareholdings: over 15% of issued share capital,,,Babylon Bars Ltd,Hospitality,,
6171,,Shares in Paygora Ltd.,03/08/2024,03/08/2024,,Shareholdings,Steff Aquarone,5164,(i) Shareholdings: over 15% of issued share capital,,,Paygora Ltd.,Business to business invoicing and payments technology solution,,
7418,,Shares in Sparticles Productions Ltd,03/08/2024,03/08/2024,,Shareholdings,Alison Hume,5254,(i) Shareholdings: over 15% of issued share capital,,,Sparticles Productions Ltd,Television production company,,
9340,,Shares in CC Technologies,02/08/2024,02/08/2024,,Shareholdings,Katie Lam,5285,(i) Shareholdings: over 15% of issued share capital,,,CC Technologies,Legal technology start-up,,
6237,,Shares in Inverleith Partnership,02/08/2024,02/08/2024,,Shareholdings,Mr Angus MacDonald,5362,"(ii) Other shareholdings, valued at more than £70,000",,,Inverleith Partnership,"Partnership with two holdings, Artisan Spirit Company and Montane (outdoor clothing)",,DelegatedManagementCompany
7659,,Shares in Rolls Royce Plc,02/08/2024,02/08/2024,,Shareholdings,Baggy Shanker,5176,"(ii) Other shareholdings, valued at more than £70,000",,,Rolls Royce Plc,,"I, my wife and my son have separate holdings",
6591,,Shares in Environmental Policy Consulting,01/08/2024,01/08/2024,,Shareholdings,Manuela Perteghella,5122,(i) Shareholdings: over 15% of issued share capital,,05/07/2004,Environmental Policy Consulting,consultancy on environmental issues,jointly with my husband,
8725,,Shares in Crater Law Solicitors Ltd,01/08/2024,01/08/2024,,Shareholdings,Abtisam Mohamed,5142,(i) Shareholdings: over 15% of issued share capital,,25/07/2024,Crater Law Solicitors Ltd,Solicitors,,
8283,,Shares in Four Communications,01/08/2024,01/08/2024,,Shareholdings,Jim Dickson,5223,"(ii) Other shareholdings, valued at more than £70,000",,,Four Communications,Public Relations,,
8342,,Shares in Our World Research and Consultancy Ltd,01/08/2024,01/08/2024,,Shareholdings,Sam Rushworth,5108,(i) Shareholdings: over 15% of issued share capital,,,Our World Research and Consultancy Ltd,,,
8787,,Shares in Yardley Programme Management Limited,01/08/2024,01/08/2024,,Shareholdings,Kirsteen Sullivan,5179,(i) Shareholdings: over 15% of issued share capital,,,Yardley Programme Management Limited,IT & Business management and consultancy service,Spouse,
8797,,Shares in 30th State Productions Limited,01/08/2024,01/08/2024,,Shareholdings,Alan Gemmell,5185,(i) Shareholdings: over 15% of issued share capital,,,30th State Productions Limited,It has rights to a book I have written and am publishing.,Spouse,
8808,,Shares in LeapX Group Limited,01/08/2024,01/08/2024,,Shareholdings,Alan Gemmell,5185,(i) Shareholdings: over 15% of issued share capital,,,LeapX Group Limited,To provide business and management consultancy services.,,
8591,,Shares in Smart Vet Ltd (Trading as Pet People),31/07/2024,31/07/2024,,Shareholdings,Aphra Brandreth,5241,(i) Shareholdings: over 15% of issued share capital,,,Smart Vet Ltd (Trading as Pet People),Veterinary business,My husband is also a shareholder,
8605,,Shares in Saibick Limited,31/07/2024,31/07/2024,,Shareholdings,Aphra Brandreth,5241,(i) Shareholdings: over 15% of issued share capital,,,Saibick Limited,Commercial property letting company,Husband is also a shareholder of the company,
8596,,Shares in Saibick Investments Ltd,31/07/2024,31/07/2024,,Shareholdings,Aphra Brandreth,5241,(i) Shareholdings: over 15% of issued share capital,,,Saibick Investments Ltd,Investment company,"Jointly with my husband, two sons and daughter.",
7909,,Shares in Red Installations Ltd,31/07/2024,31/07/2024,,Shareholdings,Marie Goldman,5073,(i) Shareholdings: over 15% of issued share capital,,,Red Installations Ltd,"Installation of windows, doors and other associated products.",Jointly with husband.,
7910,,Shares in Red Glazing Systems Ltd,31/07/2024,31/07/2024,,Shareholdings,Marie Goldman,5073,(i) Shareholdings: over 15% of issued share capital,,,Red Glazing Systems Ltd,"Supply and installation of windows, doors and other associated products.",Jointly with my husband.,
7911,,Shares in Piktical Ltd,31/07/2024,31/07/2024,,Shareholdings,Marie Goldman,5073,(i) Shareholdings: over 15% of issued share capital,,,Piktical Ltd,Software-based live event ticketing and access management.,,
8422,,Shares in Cassia Bath Ltd,31/07/2024,31/07/2024,,Shareholdings,Anna Sabine,5286,(i) Shareholdings: over 15% of issued share capital,,,Cassia Bath Ltd,Cafe,,
8419,,Shares in The Female Edge Ltd,31/07/2024,31/07/2024,,Shareholdings,Anna Sabine,5286,(i) Shareholdings: over 15% of issued share capital,,,The Female Edge Ltd,Membership and training network for female entrepreneurs,,
8472,,Shares in Lowe Holdings Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Lowe Holdings Ltd,Holding company for Lowe and Oliver Ltd electrical contractor,,
8473,,Shares in J Brand Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,J Brand Ltd,Data contractor specialising in retail sector,,
8474,,Shares in Data-Path Office Network Services Limited,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Data-Path Office Network Services Limited,"Data contractor, based in Somerset",,
8476,,Shares in Scarabus Trading Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Scarabus Trading Ltd,"Holding company for football related franchises - ICFDS, BSS, SOCATOTS",,
8477,,Shares in Alto Energy Limited,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Alto Energy Limited,Heatpump experts,,
8480,,Shares in Kona Energy Limited,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Kona Energy Limited,Battery storage,,
8481,,Shares in Glass Wall Holdings Limited,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Glass Wall Holdings Limited,Cyber security,,
8483,,Shares in L11NK Limited,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,L11NK Limited,IT App Developer,,
8485,,Shares in Transense Technology Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Transense Technology Ltd,AIM listed company,,
