ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails
9258,9240,"Payment received on 31 July 2024 - £16,597.22",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Nigel Farage,5091,TRUE,31/07/2024,,Monetary,,16597.22,24,24 hours per month estimated,FALSE,,FALSE,,,FALSE,,,
9229,8916,Payment received on 25 July 2024 - £853.34,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Nigel Farage,5091,TRUE,25/07/2024,,Monetary,,853.34,28,Estimated amount of hours worked,FALSE,,FALSE,,,FALSE,,,
9228,9226,"Payment received on 24 July 2024 - £1,551.29",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Nigel Farage,5091,TRUE,24/07/2024,,Monetary,,1551.29,28,This is an estimated amount of hours,FALSE,,FALSE,,,FALSE,,,
8479,7457,"Payment received on 31 July 2024 - £1,143.94",31/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sadik Al-Hassan,5312,TRUE,31/07/2024,,Monetary,Final payment,1143.94,40,Estimated one week,FALSE,,FALSE,,,FALSE,,,
9312,8011,"Payment received on 15 July 2024 - £1,412.26",03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Elaine Stewart,5206,TRUE,15/07/2024,,Monetary,,1412.26,0,None since my election. Payment for unused holidays,FALSE,,FALSE,,,FALSE,,,
9569,8216,"Payment received on 25 July 2024 - £1,125.87",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Tristan Osborne,5220,TRUE,25/07/2024,,Monetary,Two weeks allowance for Cabinet member and Councillor,1125.87,80,,FALSE,,FALSE,,,FALSE,,,
9047,8344,"Payment received on 31 July 2024 - £2,407.62",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sam Rushworth,5108,TRUE,31/07/2024,,Monetary,Final payment,2407.62,63,,FALSE,,FALSE,,,FALSE,,,
8351,8350,Payment received on 31 July 2024 - £303.49,01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Terry Jermy,5338,TRUE,31/07/2024,,Monetary,Councillor Allowance and Special Responsibility Allowance,303.49,10,,FALSE,,FALSE,,,FALSE,,,
8459,8456,Payment received on 15 July 2024 - £550.00,31/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Torcuil Crichton,5246,TRUE,15/07/2024,,Monetary,,550,20,Estimated writing time,FALSE,,FALSE,,,FALSE,,,
7758,7757,"Payment received on 23 July 2024 - £2,645.64",29/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Andrew Pakes,5243,TRUE,23/07/2024,,Monetary,,2645.64,0,No additional hours since my election. This is final settlement on holiday pay following my election to Parliament,FALSE,,FALSE,,,FALSE,,,
7716,7715,"Payment received on 25 July 2024 - £2,230.77",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Steve Yemm,5194,TRUE,25/07/2024,,Monetary,,2230.77,24,,FALSE,,FALSE,,,FALSE,,,
10312,7848,Payment received on 15 July 2024 - £750.04,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Mrs Elsie Blundell,5084,TRUE,15/07/2024,,Monetary,Final payment,750.04,0,No additional hours since my election,FALSE,,FALSE,,,FALSE,,,
8608,8606,Payment received on 31 July 2024 - £541.98,31/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Jo Platt,4673,TRUE,31/07/2024,,Monetary,,541.98,0.8,,FALSE,,FALSE,,,FALSE,,,
8044,8042,"Payment received on 31 July 2024 - £4,342.08",29/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Bradley Thomas,5186,TRUE,31/07/2024,,Monetary,Actual amount to cover owed salary for July until my resignation following my election to Parliament.,4342.08,30,,FALSE,,FALSE,,,FALSE,,,
8884,8879,"Payment received on 30 July 2024 - £1,953.59",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Lee Pitcher,5233,TRUE,30/07/2024,,Monetary,,1953.59,0,40 hour week,FALSE,,FALSE,,,FALSE,,,
9016,8883,"Payment received on 22 July 2024 - £5,520.00",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sarah Sackman,5204,TRUE,22/07/2024,,Monetary,,5520,45,,FALSE,,FALSE,,,FALSE,,,
8896,8895,"Payment received on 12 July 2024 - £1,450.00",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Anna Dixon,5281,TRUE,12/07/2024,,Monetary,,1450,10,I charged a fixed sum for a coaching session which could last up to 2 hours,FALSE,,FALSE,,,FALSE,,,
9191,9152,Payment received on 31 July 2024 - £776.92,02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sarah Hall,5154,TRUE,31/07/2024,,Monetary,Final payment,776.92,38,,FALSE,,FALSE,,,FALSE,,,
6923,6922,"Payment received on 04 June 2024 - £25,000.00",22/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sir Geoffrey Cox,1508,TRUE,04/06/2024,,Monetary,,25000,15,The work is continuining,FALSE,,FALSE,,,FALSE,,,
9335,9333,"Payment expected for services on 02 July 2024 - £1,000.00",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,David Davis,373,FALSE,02/07/2024,,Monetary,For a TV interview,1000,1,,FALSE,,FALSE,,,TRUE,Donated by the Member to the recipient,Charity,
9626,9624,"Payment expected for services on 14 June 2023 - £4,000.00",03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sarah Sackman,5204,FALSE,14/06/2023,,Monetary,,4000,30,Estimated,FALSE,,FALSE,,,FALSE,,,
9628,9627,"Payment expected for services on 30 June 2023 - £2,012.50",03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sarah Sackman,5204,FALSE,30/06/2023,,Monetary,,2012.5,10,,FALSE,,FALSE,,,FALSE,,,
9711,9699,"Payment received on 26 July 2024 - £1,700.00",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Dr Beccy Cooper,5307,TRUE,26/07/2024,,Monetary,This was monthly payment for being a Member of the LGA Improvement and Innovation Board. The amount is approximate after tax for the previous 12 months,1700,30,"This is an estimation of hours, based on committee hours and prep time. As payment was monthly, the payment date is the last received payment date",FALSE,,FALSE,,,FALSE,,,
9947,9945,Payment received on 31 July 2024 - £143.32,03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Rachel Blake,5257,TRUE,31/07/2024,,Monetary,,143.32,0,"After I was elected, I requested that LB Tower Hamlets stop paying my Cllr allowance. £143.32 is the income from 1 July - 4th July. I have now resigned as a Councillor.",FALSE,,FALSE,,,FALSE,,,
7106,7105,Payment received on 19 July 2024 - £225.00,25/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Peter Prinsley,5163,TRUE,19/07/2024,medical practice,Monetary,,225,3,,FALSE,,FALSE,,,FALSE,,,
9511,9502,Payment received on 01 August 2024 - £350.00,02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Mrs Sarah Russell,5324,TRUE,01/08/2024,,Monetary,,350,1.75,,FALSE,,FALSE,,,FALSE,,,
