ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link,Updated_2
15453,"Payment received on 12 June 2026 - £1,200.00",12101,2026-06-15,2026-06-15,,Employment and earnings - Ad hoc payments,146,Barry Gardiner,True,2026-06-12,,Monetary,,1200.00,40.00,"estimated, this includes research on current news",False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15453,
15431,Payment received on 10 June 2026 - £66.90,15217,2026-06-10,2026-06-11,,Employment and earnings - Ad hoc payments,5199,Mr Luke Charters,True,2026-06-10,,Monetary,donated in full to Bereaved Children Support York (Charity No. 1171422),66.90,1.00,Estimate,False,,False,,,True,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/15431,
15435,Payment received on 24 April 2026 - £350.00,15434,2026-06-11,2026-06-11,,Employment and earnings - Ad hoc payments,4500,Clive Lewis,True,2026-04-24,,Monetary,For one appearance on radio show,350.00,1.50,Approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15435,
15419,"Payment received on 15 May 2026 - £12,500.00",4711,2026-06-09,2026-06-10,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2026-05-15,,Monetary,,12500.00,12.00,For work undertaken between 1 March and 30 April 2026,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15419,
15417,"Payment received on 15 May 2026 - £60,000.00",14709,2026-06-10,2026-06-10,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2026-05-15,,Monetary,,60000.00,15.00,For work undertaken between 1 April and 15 May 2026,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15417,
15429,"Payment received on 15 May 2026 - £6,738.28",11729,2026-06-10,2026-06-10,,Employment and earnings - Ad hoc payments,4118,Sir Julian Smith,True,2026-05-15,,Monetary,payment for work undertaken and expenses incurred December 2025-April 2026,6738.28,69.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15429,
15427,"Payment expected for services on 14 May 2026 - £1,500.00",15426,2026-06-10,2026-06-10,,Employment and earnings - Ad hoc payments,4030,Karl Turner,False,2026-05-14,,Monetary,Guest Panellist on Have I Got News For You (Series 71),1500.00,5.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15427,
15418,"Payment received on 15 May 2026 - £11,050.00",14243,2026-06-09,2026-06-10,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2026-05-15,,Monetary,,11050.00,13.00,For work undertaken between 1 April and 30 April 2026,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15418,
15420,"Payment received on 15 May 2026 - £12,500.00",14202,2026-06-09,2026-06-10,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2026-05-15,,Monetary,,12500.00,12.00,For work undertaken between 1 March and 30 April 2026,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15420,
15422,"Payment received on 10 June 2026 - £11,724.97",11413,2026-06-10,2026-06-10,,Employment and earnings - Ad hoc payments,5158,Rupert Lowe,True,2026-06-10,,Monetary,,11724.97,5.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15422,
15386,"Payment received on 08 June 2026 - £2,750.00",6031,2026-06-08,2026-06-08,,Employment and earnings - Ad hoc payments,5197,Dr Neil Shastri-Hurst,True,2026-06-08,,Monetary,(Includes 15% to be deducted on account of Chambers' fees),2750.00,17.25,Approximate number of hours worked,True,Lime Personal Injury (Part of Shakespeare Martineau LLP),False,"60 Gracechurch Street, London EC3V 0HR",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15386,
15351,Payment received on 28 May 2026 - £300.00,15350,2026-06-03,2026-06-03,,Employment and earnings - Ad hoc payments,40,Sir Bernard Jenkin,True,2026-05-28,,Monetary,,300.00,4.00,Approx,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15351,
15343,Payment received on 28 May 2026 - £29.19,15217,2026-06-02,2026-06-02,,Employment and earnings - Ad hoc payments,5199,Mr Luke Charters,True,2026-05-28,,Monetary,"Full amount donated to St. Leonard's Hospice, York (Charity Number: 509294)",29.19,1.00,The number of hours worked is an estimate,False,,False,,,True,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/15343,
15325,"Payment received on 21 May 2026 - £1,000.00",12619,2026-05-29,2026-06-01,,Employment and earnings - Ad hoc payments,146,Barry Gardiner,True,2026-05-21,,Monetary,,1000.00,40.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15325,
15355,Payment received on 19 March 2026 - £270.00,12134,2026-04-08,2026-06-01,2026-06-01,Employment and earnings - Ad hoc payments,4938,Paulette Hamilton,True,2026-03-19,,Monetary,"for being a guest panelist on the Matt Allwright show, speaking on topical issues of the day.",270.00,3.00,"(maximum hours), preparing for the programme and attending",False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15355,
15324,Payment received on 18 May 2026 - £400.00,12101,2026-05-29,2026-06-01,,Employment and earnings - Ad hoc payments,146,Barry Gardiner,True,2026-05-18,,Monetary,,400.00,18.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15324,
15339,Payment received on 08 May 2026 - £300.00,12134,2026-06-01,2026-06-01,,Employment and earnings - Ad hoc payments,4938,Paulette Hamilton,True,2026-05-08,,Monetary,"Jeremy Vine guest reviewer on the breakfast program, discussing current news affairs of the day",300.00,6.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15339,
15320,"Payment received on 28 May 2026 - £4,000.00",12266,2026-05-29,2026-05-29,,Employment and earnings - Ad hoc payments,4095,Steve Barclay,True,2026-05-28,,Monetary,,4000.00,10.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15320,
15322,Payment received on 28 May 2026 - £370.00,14944,2026-05-29,2026-05-29,,Employment and earnings - Ad hoc payments,4462,Tom Tugendhat,True,2026-05-28,,Monetary,,370.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15322,
14645,Payment received on 31 January 2026 - £184.17,13468,2026-05-28,2026-05-29,,Employment and earnings - Ad hoc payments,5198,Chris Coghlan,True,2026-01-31,,Monetary,Army Reservist pay,184.17,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14645,
15313,Payment received on 30 April 2026 - £152.17,13468,2026-05-28,2026-05-29,,Employment and earnings - Ad hoc payments,5198,Chris Coghlan,True,2026-04-30,,Monetary,Army reserve pay,152.17,8.00,Estimate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15313,
15309,"Payment received on 28 May 2026 - £50,000.00",3871,2026-05-28,2026-05-28,,Employment and earnings - Ad hoc payments,1446,Chris Bryant,True,2026-05-28,,Monetary,Further advance on the paperback publication of a book,50000.00,0.00,,True,Bloomsbury Publishing Plc,False,"50 Bedford Square, London WC1B 3DP",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15309,
15311,"Payment received on 28 May 2026 - £3,593.35",11413,2026-05-28,2026-05-28,,Employment and earnings - Ad hoc payments,5158,Rupert Lowe,True,2026-05-28,,Monetary,,3593.35,5.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15311,
15302,"Payment received on 20 May 2026 - £94,246.22",12316,2026-05-27,2026-05-27,,Employment and earnings - Ad hoc payments,4483,Rishi Sunak,True,2026-05-20,,Monetary,,94246.22,3.00,,True,Barings Investment Services Ltd,False,"20 Old Bailey, London EC4M 7AN",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15302,
15305,"Payment received on 19 May 2026 - £1,081.87",6318,2026-05-27,2026-05-27,,Employment and earnings - Ad hoc payments,5267,Yuan Yang,True,2026-05-19,,Monetary,"Publication of book in Brazil, written before entering Parliament",1081.87,0.00,No additional hours,True,Todavia Libros,False,"Rua Fidalga, 826 05432-000 São Paulo, Brazil",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15305,
15296,Payment received on 26 May 2026 - £800.00,3671,2026-05-26,2026-05-26,,Employment and earnings - Ad hoc payments,152,Sir Iain Duncan Smith,True,2026-05-26,,Monetary,"Article published by The Sun on 29 April 2026, in both online and print editions, titled ""it's scandalous six million works earn less thatn many jobless claimants -  here's how we stop it""",800.00,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15296,
15278,"Payment received on 08 May 2026 - £10,000.00",11622,2026-05-26,2026-05-26,,Employment and earnings - Ad hoc payments,4441,Sir Oliver Dowden,True,2026-05-08,,Monetary,,10000.00,20.00,up to two days per month,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15278,
15289,Payment received on 18 May 2026 - £40.00,14425,2026-05-21,2026-05-22,,Employment and earnings - Ad hoc payments,152,Sir Iain Duncan Smith,True,2026-05-18,,Monetary,Guest appearance on GB News 18th May,40.00,1.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15289,
15275,"Payment received on 20 May 2026 - £14,052.64",12160,2026-05-21,2026-05-22,,Employment and earnings - Ad hoc payments,5091,Nigel Farage,True,2026-05-20,,Monetary,,14052.64,6.00,This is an estimate for work undertaken between November 2025 and April 2026,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15275,
15285,Payment received on 18 May 2026 - £450.00,4321,2026-05-21,2026-05-21,,Employment and earnings - Ad hoc payments,4084,Esther McVey,True,2026-05-18,,Monetary,For two shows.,450.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15285,
15284,"Payment received on 06 May 2026 - £2,166.66",4308,2026-05-21,2026-05-21,,Employment and earnings - Ad hoc payments,4084,Esther McVey,True,2026-05-06,,Monetary,For four full page columns in the Daily Express and four weekly podcasts.,2166.66,12.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15284,
15246,"Payment received on 13 May 2026 - £61,500.00",15245,2026-05-21,2026-05-21,,Employment and earnings - Ad hoc payments,4356,Angela Rayner,True,2026-05-13,,Monetary,Advance for a book.,61500.00,0.00,,True,"Bodley Head, The Random House Group Ltd",False,"One Embassy Gardens, 8 Viaduct Gardens, London SW11 7BW",Book publisher,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15246,
15274,Payment expected for services on 20 May 2026 - £150.00,3818,2026-05-20,2026-05-20,,Employment and earnings - Ad hoc payments,4110,Dame Karen Bradley,False,2026-05-20,,Monetary,For a meeting,150.00,1.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15274,
15243,"Payment expected for services on 24 April 2026 - £2,500.00",15242,2026-05-19,2026-05-19,,Employment and earnings - Ad hoc payments,1572,Sir Jeremy Hunt,False,2026-04-24,"Speaking engagement for Oxford University as part of its CEO programme delegates at Tokyo University including workshop tasks and participation over three days. The payer covered the costs of my return flight to Japan (£10,343.19) and accommodation for three nights (£909)",Monetary,Speaker fee,2500.00,24.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15243,
15248,Payment received on 04 May 2026 - £370.00,14944,2026-05-15,2026-05-18,,Employment and earnings - Ad hoc payments,4462,Tom Tugendhat,True,2026-05-04,,Monetary,,370.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15248,
15252,Payment received on 24 April 2026 - £200.00,11719,2026-05-18,2026-05-18,,Employment and earnings - Ad hoc payments,4462,Tom Tugendhat,True,2026-04-24,,Monetary,,200.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15252,
15236,"Payment received on 29 April 2026 - £8,723.38",5988,2026-05-15,2026-05-15,,Employment and earnings - Ad hoc payments,5067,Tony Vaughan,True,2026-04-29,,Monetary,All work carried out prior to 5 July 2024,8723.38,29.00,hours worked is approximate and none since my election,True,confidential,False,confidential,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15236,
15241,"Payment received on 13 May 2026 - £17,000.00",11008,2026-05-15,2026-05-15,,Employment and earnings - Ad hoc payments,1572,Sir Jeremy Hunt,True,2026-05-13,Speaking engagement,Monetary,Speaking engagement on 12 May 2026,17000.00,3.00,,True,HSBC UK Bank plc,False,"1 Centenary Square, Birmingham, B1 1HQ",Banking & Financial Services,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15241,
15235,Payment received on 28 April 2026 - £286.20,5988,2026-05-15,2026-05-15,,Employment and earnings - Ad hoc payments,5067,Tony Vaughan,True,2026-04-28,,Monetary,,286.20,0.60,for work carried out in October 2025,True,confidential,False,confidential,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15235,
15238,"Payment received on 30 April 2026 - £3,661.00",4341,2026-05-15,2026-05-15,,Employment and earnings - Ad hoc payments,1466,Dr Andrew Murrison,True,2026-04-30,,Monetary,,3661.00,64.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15238,
15234,Payment received on 24 April 2026 - £333.90,5988,2026-05-15,2026-05-15,,Employment and earnings - Ad hoc payments,5067,Tony Vaughan,True,2026-04-24,,Monetary,,333.90,0.70,For work carried out on 17/09/2025,True,confidential,False,confidential,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15234,
15240,Payment received on 31 March 2026 - £562.77,4251,2026-04-29,2026-05-15,,Employment and earnings - Ad hoc payments,4657,Anneliese Dodds,True,2026-03-31,,Monetary,,562.77,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15240,
15230,Payment received on 12 May 2026 - £250.00,3680,2026-05-14,2026-05-14,,Employment and earnings - Ad hoc payments,152,Sir Iain Duncan Smith,True,2026-05-12,,Monetary,Writing an article for the Telegraph published on 25th April,250.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15230,
15231,Payment received on 28 April 2026 - £758.06,4169,2026-05-14,2026-05-14,,Employment and earnings - Ad hoc payments,420,Yvette Cooper,True,2026-04-28,,Monetary,For additional sales of a book already published.,758.06,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15231,
15229,"Payment received on 14 May 2026 - £2,770.14",11413,2026-05-14,2026-05-14,,Employment and earnings - Ad hoc payments,5158,Rupert Lowe,True,2026-05-14,,Monetary,,2770.14,5.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15229,
15227,Payment received on 30 April 2026 - £178.35,4353,2026-05-14,2026-05-14,,Employment and earnings - Ad hoc payments,3991,Jesse Norman,True,2026-04-30,,Monetary,,178.35,0.00,,True,HarperCollins Publishers Ltd,False,"The News Building, 1 London Bridge Street, London SE1 9GF",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15227,
15218,Payment received on 13 May 2026 - £555.72,15217,2026-05-13,2026-05-13,,Employment and earnings - Ad hoc payments,5199,Mr Luke Charters,True,2026-05-13,,Monetary,"Full amount donated to St. Leonard's Hospice, York (Charity Number: 509294)",555.72,4.00,The number of hours worked is an estimate,False,,False,,,True,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/15218,
15209,Payment received on 16 April 2026 - £453.30,4286,2026-05-12,2026-05-12,,Employment and earnings - Ad hoc payments,4500,Clive Lewis,True,2026-04-16,,Monetary,One article published on 26 March 2026,453.30,2.00,Approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15209,
15208,"Payment received on 12 May 2026 - £1,200.00",6031,2026-05-12,2026-05-12,,Employment and earnings - Ad hoc payments,5197,Dr Neil Shastri-Hurst,True,2026-05-12,,Monetary,,1200.00,6.00,,True,Hatchers,False,"Welsh Bridge, 1 Frankwell, Shrewsbury, Shropshire, SY3 8JY",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15208,
15205,Payment received on 18 April 2026 - £950.00,12101,2026-05-11,2026-05-11,,Employment and earnings - Ad hoc payments,146,Barry Gardiner,True,2026-04-18,,Monetary,,950.00,40.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15205,
15170,"Payment received on 14 April 2026 - £9,017.87",12767,2026-05-08,2026-05-11,,Employment and earnings - Ad hoc payments,4441,Sir Oliver Dowden,True,2026-04-14,,In kind,"Return flights (£6,419.87), accommodation (approx. £1,980), transfers (approx. £433) and food (approx. £185)",9017.87,0.00,This registration only relates to travel and accommodation expenses paid for attending a conference,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15170,
15206,"Payment received on 27 April 2026 - £1,000.00",12619,2026-05-11,2026-05-11,,Employment and earnings - Ad hoc payments,146,Barry Gardiner,True,2026-04-27,,Monetary,,1000.00,25.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15206,
15193,"Payment received on 15 April 2026 - £5,000.00",15192,2026-05-07,2026-05-08,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2026-04-15,,Monetary,,5000.00,3.50,For work undertaken between 1 and 15 April 2026,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15193,
15195,Payment received on 07 May 2026 - £300.00,11234,2026-05-08,2026-05-08,,Employment and earnings - Ad hoc payments,4480,Carolyn Harris,True,2026-05-07,,Monetary,,300.00,7.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15195,
15190,"Payment received on 15 April 2026 - £10,000.00",4711,2026-05-07,2026-05-08,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2026-04-15,,Monetary,,10000.00,8.00,For work undertaken between 1 and 31 March 2026,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15190,
15189,"Payment received on 15 April 2026 - £60,000.00",14709,2026-05-07,2026-05-08,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2026-04-15,,Monetary,,60000.00,20.00,For work undertaken from 1 April 2026 (and continuing),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/15189,
