public_whip_id,member_name,category_name,earliest_declaration,latest_declaration,free_text,extracted_orgs,extracted_sum
uk.org.publicwhip/person/26086,Richard Foord,Employment and earnings,2022-08-08,2022-09-05 (latest),"28 July 2022, received final payment of £905.74. Hours: 3.95 hrs. (Registered 28 July 2022)",,905.74
uk.org.publicwhip/person/26086,Richard Foord,Employment and earnings,2022-08-08,2022-09-05 (latest),"29 June 2022, received £1,974.47. Hours: 14.8 hrs since my election. (Registered 20 July 2022)",,"1,974.47"
uk.org.publicwhip/person/26086,Richard Foord,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-09-05 (latest),2022-09-05 (latest),Name of donor: Association of Liberal Democrat Councillors,Association of Liberal Democrat Councillors,
uk.org.publicwhip/person/26086,Richard Foord,Employment and earnings,2022-08-08,2022-09-05 (latest),"Until 23 July 2022, Research Support, International Collaboration, University of Oxford, 5 Worcester Street, Oxford OX1 2BX.",Research Support; International Collaboration; University of Oxford,
uk.org.publicwhip/person/26085,Simon Lightwood,Miscellaneous,2022-08-08,2022-09-05 (latest),Member of the Unison Labour Link Regional Committee. (Registered 19 July 2022),the Unison Labour Link Regional Committee,
uk.org.publicwhip/person/26085,Simon Lightwood,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-09-05 (latest),2022-09-05 (latest),"Name of donor: GMB North East, Yorkshire and Humberside",,
uk.org.publicwhip/person/26085,Simon Lightwood,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-09-05 (latest),2022-09-05 (latest),Name of donor: Owen Trotter,,
uk.org.publicwhip/person/26085,Simon Lightwood,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-09-05 (latest),2022-09-05 (latest),Name of donor: Unison Yorkshire and Humberside,,
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-04-19,2022-09-05 (latest),"22 March 2022, received £500 from Ashley Community Housing, 2nd floor, Eden house, Eastgate, Office Park, Eastgate Road, Bristol BS5 6XY, for attending a meeting as a board member. Hours: 3 hrs. (Registered 06 April 2022)","Ashley Community Housing; Eden house; Eastgate; Office Park, Eastgate Road; Bristol BS5 6XY",500
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-09-05 (latest),2022-09-05 (latest),"27 May 2022, received a final payment of £1,292.93. An overpayment of £261 from this sum was returned on 8 July 2022, and a further £261 was returned on 8 August 2022. Hours: 30 hrs. (Registered 01 June 2022; updated 12 July 2022 and 22 August 2022)",,"1,292.93; 261; 261"
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-05-30,2022-09-05 (latest),"28 April 2022, received £264.57. Hours: 30 hrs. (Registered 20 May 2022)",,264.57
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-04-19,2022-09-05 (latest),"28 March 2022, received £2,612,35 including an additional allowance as a cabinet member. Hours: 128 hrs. (Registered 01 April 2022)",,
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-05-30,2022-09-05 (latest),"29 April 2022, received £706.75. Hours: no additional hours since my election to Parliament. (Registered 20 May 2022)",Parliament,706.75
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-09-05 (latest),2022-09-05 (latest),"29 July 2022, received £593.73. Hours: no additional hours since my election to Parliament. (Registered 25 August 2022)",Parliament,593.73
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-08-08,2022-09-05 (latest),"30 June 2022, received £593.93. Hours: approx. 10 hrs. (Registered 27 July 2022)",,593.93
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-05-30,2022-09-05 (latest),"31 March 2022, payment of £583.78. Hours: 32 hrs. (Registered 13 April 2022)",,583.78
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-06-13,2022-09-05 (latest),"31 May 2022, received £593.93. Hours: no additional hours since my election to Parliament. (Registered 01 June 2022)",Parliament,593.93
uk.org.publicwhip/person/26061,Paulette Hamilton,Miscellaneous,2022-08-08,2022-09-05 (latest),"From 28 June 2022, Vice President of the Local Government Association (LGA). This is an unpaid role. (Registered 25 July 2022)",the Local Government Association; LGA,
