public_whip_id,member_name,registry_date,category_type,category_name,free_text,extracted_orgs,extracted_money
uk.org.publicwhip/person/10001,Diane Abbott,2022-05-16,1,Employment and earnings,"Payments from the Guardian, Kings Place, 90 York Way, London N1 9GU, for articles:",Guardian; 9GU,
uk.org.publicwhip/person/10001,Diane Abbott,2022-05-16,1,Employment and earnings,"5 May 2021, received £100 for an article published on 22 April 2021. Hours: 45 mins. (Registered 07 June 2021)",,100
uk.org.publicwhip/person/10001,Diane Abbott,2022-05-16,1,Employment and earnings,"4 July 2021, received £400 from Operation Black Vote, 18A Victoria Park Square, Bethnal Green, London E2 9PB, for delivering a presentation on 12 May 2021. Hours: 2 hrs. (Registered 02 August 2021)",Operation Black Vote; Bethnal Green; London E2 9PB,400
uk.org.publicwhip/person/10001,Diane Abbott,2022-05-16,4,Visits outside the UK,Name of donor: GUBA Foundation,GUBA Foundation,
uk.org.publicwhip/person/10001,Diane Abbott,2022-05-16,8,Miscellaneous,"Since December 2015, a trustee of the Diane Abbott Foundation, which works to excel and improve education. (Registered 26 October 2016)",the Diane Abbott Foundation,
uk.org.publicwhip/person/24878,Nigel Adams,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Betting and Gaming Council (BGC),,
uk.org.publicwhip/person/24878,Nigel Adams,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Power Leisure Bookmakers Ltd,,
uk.org.publicwhip/person/24878,Nigel Adams,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Entain Holdings UK,,
uk.org.publicwhip/person/24878,Nigel Adams,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Heineken UK Ltd,Heineken UK Ltd,
uk.org.publicwhip/person/24878,Nigel Adams,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","One mixed use commercial and residential property in Selby, North Yorkshire, co-owned with my wife: (i) and (ii).",,
uk.org.publicwhip/person/24878,Nigel Adams,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","Three residential properties in York co-owned with my wife, the second of which was acquired in September 2017, and the third on 1 October 2021: (i) and (ii). (Registered 13 May 2015; updated 10 October 2017 and 02 November 2021)",,
uk.org.publicwhip/person/24878,Nigel Adams,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","From 18 March 2016, one residential property in Leeds co-owned with my wife: (i) and from 10 May 2016 (ii). (Registered 18 March 2016; updated 10 May 2016)",,
