ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,VisitLocations_Country_2,VisitLocations_Destination_2,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,VisitLocations_Country_3,VisitLocations_Destination_3
14004,International visit to Brazil between 11 November 2025 and 18 November 2025,,2025-11-28,2025-12-01,,Visits outside the UK,5100,Blake Stephenson,Brazil,"Belém, Pará",Attendance of COP30 to meet legislators and experts and to build knowledge of the international climate process.,2025-11-11,2025-11-18,,Energy and Climate Intelligence Unit,False,"180 Borough High Street, London SE1 1LB",In kind,"Accommodation (£292.41), Flights (£2,271.72) and  Maximum subsistence received (£835.64)",3339.77,True,https://interests-api.parliament.uk/api/v1/Interests/14004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015,International visit to Poland between 02 November 2025 and 04 November 2025,,2025-11-30,2025-12-01,,Visits outside the UK,5287,Tim Roca,Poland,,Invited to commemoration of Kristallnacht at Auschwitz-Birkenau and Krakow.,2025-11-02,2025-11-04,,European Jewish Association,False,"Rue du Cornet 22, 1040 Brussels",In kind,"Flights (£211), accommodation (£166), food and local transport (£175)",552.00,True,https://interests-api.parliament.uk/api/v1/Interests/14015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14014,International visit to Poland between 02 November 2025 and 04 November 2025,,2025-11-30,2025-12-01,,Visits outside the UK,5146,Michael Payne,Poland,,Invited to commemoration of Kristallnacht at Auschwitz-Birkenau and Krakow.,2025-11-02,2025-11-04,,European Jewish Association,False,"Rue du Cornet 22, 1040 Brussels",In kind,"Flights (£211), accommodation (£166), food and local transport (£175). Person accompanying me received food and local transport only (to the value £175)",727.00,False,https://interests-api.parliament.uk/api/v1/Interests/14014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14016,International visit to Brazil between 11 November 2025 and 17 November 2025,,2025-12-01,2025-12-01,,Visits outside the UK,4657,Anneliese Dodds,Brazil,"Belém, Pará",Attendance of COP30 to meet legislators and experts and to build knowledge of the international climate process.,2025-11-11,2025-11-17,,Energy & Climate Intelligence Unit,False,"180 Borough High Street, London SE1 1LB",In kind,"Accommodation (£539.91), flights (£2,271.72) and maximum subsistence received (£383.64)",3195.17,True,https://interests-api.parliament.uk/api/v1/Interests/14016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14020,International visit to Switzerland between 05 November 2025 and 08 November 2025,,2025-12-01,2025-12-01,,Visits outside the UK,5168,Adam Jogee,Switzerland,Berne and Zurich,Cross party delegation of MPs focused on what lessons the United Kingdom can learn from Switzerland’s rail/transport network and Vocational and their Professional Education and Training (VPET) system.,2025-11-05,2025-11-08,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the United Kingdom, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), accommodation (£990), in-country travel (£290) and meals (£240)",1900.00,True,https://interests-api.parliament.uk/api/v1/Interests/14020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14029,International visit to Malta between 14 November 2025 and 16 November 2025,,2025-12-01,2025-12-01,,Visits outside the UK,5355,Sarah Bool,Malta,,To attend the Global Parliamentary Advocacy Forum organised by Parliamentarians for Diabetes Global Network (PDGN),2025-11-14,2025-11-16,,Parliamentarians for Diabetes Global Network (PDGN Limited - Company No. 10339168),False,"44 Howard Road, New Malden, Surrey KT3 4EA",In kind,"Flights (£359.95), accommodation (£266.89), half day meal, coffee and beverages package (£93.49) and airport transfers (£50.04)",770.37,True,https://interests-api.parliament.uk/api/v1/Interests/14029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14034,International visit to Spain between 06 November 2025 and 07 November 2025,,2025-12-01,2025-12-01,,Visits outside the UK,4823,John Finucane,Spain,,"Panellist at the the International Conference of the Association, titled: TORTURE. Impunity: guarantees for reparation and non-repetition",2025-11-06,2025-11-07,,Nafarroako Torturatuen Sarea Elkartea (Association of Torture Victims of Navarre),False,Calle Amaya 2C 31002 Pamplona-Navarra (Spain),In kind,"Flights (£275.61), accommodation (£119.43) and meals (£73.15)",468.19,True,https://interests-api.parliament.uk/api/v1/Interests/14034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13907,International visit to Italy between 03 November 2025 and 09 November 2025,,2025-11-28,2025-11-28,,Visits outside the UK,4409,Naz Shah,Italy,,"To attend the annual Concordia forum retreat, including the youth programme,",2025-11-03,2025-11-09,,The Concordia Forum,False,"254 Chapman Road, Ste 208 8331, Newark, DE19702",In kind,"Flights (£349.94), accommodation (£176.15), internal transport (£44.40) and Delegate package for Concordia Forum Annual Retreat 2025 (6-9 Nov at Verdura Resort, Sicily, worth standard delegate rate approx £1,893.29)",2463.78,True,https://interests-api.parliament.uk/api/v1/Interests/13907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14001,International visit to France between 19 November 2025 and 22 November 2025,,2025-11-28,2025-11-28,,Visits outside the UK,5118,Chris Curtis,France,,"TO understand how France is building urban extensions with beautiful buildings, trams, and funded infrastructure.",2025-11-19,2025-11-22,,Create Streets Foundation,False,"81 Lambeth Walk, London SE11 6DX UK",In kind,"Eurostar London to Paris standard class return (£255.00 ), return train from Paris to Angers (£99.53), hotel single rooms for two nights (£375.00), meals for two days, including lunch and dinner, (£120.00) and local travel via metro and tram where required (40.00)",889.53,True,https://interests-api.parliament.uk/api/v1/Interests/14001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13979,International visit to Bahrain between 31 October 2025 and 03 November 2025,,2025-11-27,2025-11-27,,Visits outside the UK,4656,Layla Moran,Bahrain,Manama,"Attending the Manama Dialogue to debate the Middle East’s foreign-policy, defence and security challenges",2025-10-31,2025-11-03,,Kingdom of Bahrain,False,"30 Belgrave Square, London SW1X 8QB",In kind,"Flights (£652)
2 nights accommodation and dinner (£510)",1162.00,True,https://interests-api.parliament.uk/api/v1/Interests/13979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13976,International visit to Bahrain between 30 October 2025 and 03 November 2025,,2025-11-27,2025-11-27,,Visits outside the UK,4066,Priti Patel,Bahrain,Manama,"To attend the Manama Dialogue and associated meetings in my capacity as the Shadow Secretary of State for Foreign, Commonwealth and Development Affairs, accompanied by a CCHQ Adviser.",2025-10-30,2025-11-03,,Bahrain Ministry of Foreign Affairs,False,"PO Box 547, Government Road, Manama.",In kind,"Flights, accommodation, hospitality and travel provided to myself and to a CCHQ adviser. Return flights (estimated value of £6,312 for two people return travel); Hotel Accommodation (estimated value of £3,600), Food (£300 estimated), Travel within country including airport transfers (£87 estimated).",10299.00,False,https://interests-api.parliament.uk/api/v1/Interests/13976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14003,International visit to Gibraltar between 15 November 2025 and 16 November 2025,,2025-11-27,2025-11-27,,Visits outside the UK,1572,Sir Jeremy Hunt,Gibraltar,,Attendance at a literary festival,2025-11-15,2025-11-16,,Gibraltar Tourist Board,False,"Eurosuites, 3rd floor, Block4, Eurotowers, Europort Rd, Gibraltar",In kind,"Flights, UK airport transfers, hotel for myself and my wife and a speaking fee",1590.44,False,https://interests-api.parliament.uk/api/v1/Interests/14003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13974,International visit to Germany between 12 November 2025 and 14 November 2025,,2025-11-26,2025-11-26,,Visits outside the UK,4651,Dan Carden,Germany,,To attend the Tiergarten Conference in Berlin.,2025-11-12,2025-11-14,,Friedrich-Ebert-Stiftung,False,"Hiroshimastraße 28, 10785 Berlin, Germany",In kind,Flights (£268.71) and accommodation (£191.29),460.00,True,https://interests-api.parliament.uk/api/v1/Interests/13974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13975,International visit to Italy between 27 October 2025 and 29 October 2025,,2025-11-26,2025-11-26,,Visits outside the UK,4462,Tom Tugendhat,Italy,Rome,"Speaking on 'The Church and the World' hosted by The University of Notre Dame Australia in Rome, Italy",2025-10-27,2025-10-29,,The University of Notre Dame Australia,False,"19 Mouat Street, Fremantle WA 6959, Australia",In kind,"Flights (£674.38), accommodation (£858.58) and taxis (£414.38)",1947.34,True,https://interests-api.parliament.uk/api/v1/Interests/13975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13856,International visit to Italy between 05 November 2025 and 09 November 2025,,2025-11-25,2025-11-25,,Visits outside the UK,4671,Afzal Khan,Italy,,Attended the Concordia Forum,2025-11-05,2025-11-09,,The Concordia Forum,False,"254 Chapman Road, Ste 208 8331, Newark, DE 19702",In kind,"Flights (£144.43 and £222.01), accommodation (£203), ground transport (£44.40) and delegate package (£1908.19).",2522.03,True,https://interests-api.parliament.uk/api/v1/Interests/13856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13962,International visit to Kenya between 12 October 2025 and 17 October 2025,,2025-11-25,2025-11-25,,Visits outside the UK,5307,Dr Beccy Cooper,Kenya,Nairobi,"To participate in Commonwealth Partnerships for Antimicrobial Stewardship (CwPAMS) Regional Conference, multi-stakeholder dialogues, site visits and related high-level meetings.",2025-10-12,2025-10-17,Global Health and Security,Global Health Partnerships,False,"89-90 Paul Street, London EC2A 4NE",In kind,"Flights (£1,319.32), accommodation (£603.00), food, visa, taxis (£410.00)",2337.32,False,https://interests-api.parliament.uk/api/v1/Interests/13962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13964,International visit to Switzerland between 08 October 2025 and 09 October 2025,,2025-11-25,2025-11-25,,Visits outside the UK,5307,Dr Beccy Cooper,Switzerland,Geneva,"Delegation of APPG Chairs to Geneva: Advancing UK Leadership in Global Health, Vaccines and Tuberculosis",2025-10-08,2025-10-09,Global Health and Security APPG; AMR APPG,Results UK,False,"DC-207, Clarence Centre for Enterprise and Innovation, 6 St George's Circus, London SE1 6FE",In kind,"Estimate of probable value: Flights, hotel, travel to and from airport and meetings and subsistence",849.77,True,https://interests-api.parliament.uk/api/v1/Interests/13964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13965,International visit to Switzerland between 05 November 2025 and 07 November 2025,,2025-11-25,2025-11-25,,Visits outside the UK,4510,Helen Hayes,Switzerland,,MP delegation visit with focus on Switzerland’s rail/transport network and Vocational and Professional Education and Training (VPET) system.,2025-11-05,2025-11-07,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the United Kingdom, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), acommodation (£660), in-country travel (£290), meals (£240)",1570.00,True,https://interests-api.parliament.uk/api/v1/Interests/13965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13939,International visit to United States between 06 November 2025 and 09 November 2025,,2025-11-25,2025-11-25,,Visits outside the UK,5091,Nigel Farage,United States,,Speaking engagement and charity event,2025-11-06,2025-11-09,,Bassim Haidar,True,,In kind,"Flights for me (£19,072.01) and two staffers (£35,849.01)",54921.02,False,https://interests-api.parliament.uk/api/v1/Interests/13939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13855,International visit to Bahrain between 30 October 2025 and 03 November 2025,,2025-11-24,2025-11-24,,Visits outside the UK,4671,Afzal Khan,Bahrain,,Invited to the Manama Dialogue.,2025-10-30,2025-11-03,,Minister of Foreign Affairs Bahrain,False,"Diplomat Commercial Office Tower, 1722, Manama, Bahrain",In kind,"Flights (£1,315), accommodation (£1,150) and meals (£50)",2515.00,True,https://interests-api.parliament.uk/api/v1/Interests/13855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
