ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerNatureOfBusiness,PayerPublicAddress,HasSoughtAcobaAdvice,Link,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7
12446,Writing reviews - The Spectator,,2025-09-01,2025-09-01,,Employment and earnings,4613,Alex Burghart,Writing reviews,,,False,The Spectator,False,False,,"22 Old Queen Street, London SW1H 9HP",,https://interests-api.parliament.uk/api/v1/Interests/12446,,,,,,
13174,Speaking engagement - These Executive Minds (TEXEM) Ltd,,2025-08-26,2025-08-26,,Employment and earnings,1482,Graham Stuart,Speaking engagement,,,False,These Executive Minds (TEXEM) Ltd,False,False,Management Consultancy,"Redlands Business Centre, 3 - 5 Tapton House Road, Sheffield S10 5BY",,https://interests-api.parliament.uk/api/v1/Interests/13174,,,,,,
13132,Legal services - Prime Ministers Office Republic of Mauritius,,2025-08-15,2025-08-18,,Employment and earnings,1508,Sir Geoffrey Cox,Legal services,,,False,Prime Ministers Office Republic of Mauritius,False,False,,"Defence and Home Affairs Division, 7th Level, New Government Centre, Port Louis, Mauritius",,https://interests-api.parliament.uk/api/v1/Interests/13132,,,,,,
13135,Speaking engagement at the FrontierTechX 2025 Conference - Abiflo Ltd,,2025-08-16,2025-08-18,,Employment and earnings,4798,Gareth Bacon,Speaking engagement at the FrontierTechX 2025 Conference,2025-07-22,2025-07-23,True,Abiflo Ltd,False,False,Consultancy,"142 Centenary Plaza, 18 Holliday Street, Birmingham B1 1TH",False,https://interests-api.parliament.uk/api/v1/Interests/13135,,,,,,
13096,Chairman and Director - County Asset Finance Limited,,2025-08-12,2025-08-12,,Employment and earnings,4495,Kit Malthouse,Chairman and Director,2025-07-01,,False,County Asset Finance Limited,False,True,Finance company,"Midland Court, Central Park, Lutterworth LE17 4PN",True,https://interests-api.parliament.uk/api/v1/Interests/13096,,,,,,
13071,Director - Rachel Taylor Consultancy Limited,,2025-08-06,2025-08-06,,Employment and earnings,5065,Rachel Taylor,Director,,2025-07-31,True,Rachel Taylor Consultancy Limited,False,True,Provision of Legal Services,"The Old College, Ratcliffe Road, Atherstone, CV9 1LF",,https://interests-api.parliament.uk/api/v1/Interests/13071,,,,,,
13003,Independent Non-Executive Board Member - British Horseracing Authority's Horse Welfare Board,,2025-07-25,2025-07-28,,Employment and earnings,4853,Dr Neil Hudson,Independent Non-Executive Board Member,2025-07-15,2028-06-30,True,British Horseracing Authority's Horse Welfare Board,False,False,,"Holborn Gate, 26 Southampton Buildings, London WC2A 1AN",,https://interests-api.parliament.uk/api/v1/Interests/13003,,,,,,
12854,Senior Advisor - Goldman Sachs International,,2025-07-25,2025-07-25,,Employment and earnings,4483,Rishi Sunak,Senior Advisor,2025-07-08,,False,Goldman Sachs International,False,False,Investment Bank,"Plumtree Court, 25 Shoe Lane, London EC4A 4AU",True,https://interests-api.parliament.uk/api/v1/Interests/12854,,,,,,
12983,Speaking engagement - Buxton Arts Festival Ltd,,2025-07-24,2025-07-24,,Employment and earnings,1572,Sir Jeremy Hunt,Speaking engagement,2025-07-18,2025-07-19,True,Buxton Arts Festival Ltd,False,False,Reg. charity who promote the arts via an annual summer festival,"3 The Square, Buxton, Derbyshire, SK17 6AZ",False,https://interests-api.parliament.uk/api/v1/Interests/12983,,,,,,
12689,Senior Advisor to the Chief Executive Officer - Africa50,,2025-07-10,2025-07-10,,Employment and earnings,1211,Sir Andrew Mitchell,Senior Advisor to the Chief Executive Officer,2025-06-27,2026-06-26,True,Africa50,False,False,"Africa50 helps bridge Africa’s infrastructure funding gap by facilitating project development, mobilizing public and private sector finance, and investing in infrastructure on the continent","Tour Ivoire 3 - 8ème étage, Marina de Casablanca, Boulevard des Almohades, Casablanca 20000 Morocco",True,https://interests-api.parliament.uk/api/v1/Interests/12689,,,,,,
12767,Strategy Adviser - Francisco Partners Management LP,,2025-07-09,2025-07-09,,Employment and earnings,4441,Sir Oliver Dowden,Strategy Adviser,2025-06-16,,False,Francisco Partners Management LP,False,False,Global technology investment firm,"1 Letterman Drive, Building C, Suite 410, San Francisco, California 94129",True,https://interests-api.parliament.uk/api/v1/Interests/12767,,,,,,
12736,Writing - The Spectator,,2025-06-27,2025-06-30,,Employment and earnings,4462,Tom Tugendhat,Writing,2025-06-05,,False,The Spectator,False,False,Newspaper,"22 Old Queen St, London SW1H 9HP",,https://interests-api.parliament.uk/api/v1/Interests/12736,,,,,,
12733,Member of the advisory board - Sulnox Group Plc,,2025-06-27,2025-06-30,,Employment and earnings,4462,Tom Tugendhat,Member of the advisory board,2025-07-01,,False,Sulnox Group Plc,False,False,Environmental science and technology company,"10-12 Orange Street, London, England, WC2H 7DQ",True,https://interests-api.parliament.uk/api/v1/Interests/12733,,,,,,
12725,Guest on TV show - News UK,,2025-06-26,2025-06-26,,Employment and earnings,4084,Esther McVey,Guest on TV show,,,False,News UK,False,False,,"1 London Bridge Street, London, SE1 9GF",True,https://interests-api.parliament.uk/api/v1/Interests/12725,,,,,,
12721,Speaking engagement - A Bit of TLC Ltd,,2025-06-26,2025-06-26,,Employment and earnings,1572,Sir Jeremy Hunt,Speaking engagement,2025-06-23,2025-06-24,True,A Bit of TLC Ltd,True,False,Curating & hosting events and activities,,False,https://interests-api.parliament.uk/api/v1/Interests/12721,,,,,,
12649,Speaking engagements - JLA Speakers Ltd,,2025-06-18,2025-06-18,,Employment and earnings,4366,Sir James Cleverly,Speaking engagements,,,False,JLA Speakers Ltd,False,False,Speaking agency,"14 Berners Street, London W1T 3LJ",True,https://interests-api.parliament.uk/api/v1/Interests/12649,,,,,,
12619,Speaking Events on web seminars - Asian Democracy Limited,,2025-06-12,2025-06-13,,Employment and earnings,146,Barry Gardiner,Speaking Events on web seminars,2025-06-03,,False,Asian Democracy Limited,False,False,Service activities,"34 South Molton Street, London W1K 5RG",,https://interests-api.parliament.uk/api/v1/Interests/12619,,,,,,
12609,Podcast - Republic,,2025-06-11,2025-06-11,,Employment and earnings,4764,Bell Ribeiro-Addy,Podcast,2025-05-13,2025-05-14,True,Republic,False,False,,"20-22 Wenlock Road, London N1 7F",,https://interests-api.parliament.uk/api/v1/Interests/12609,,,,,,
12469,Compliance Officer - Tradeweb Europe Limited,,2025-05-20,2025-05-27,,Employment and earnings,5100,Blake Stephenson,Compliance Officer,,2023-02-28,True,Tradeweb Europe Limited,False,False,"A UK investment firm with permissions to operate a Multilateral Trading Facility (""MTF""), an Organised Trading Facility (“OTF”) and an Approved Publication Arrangement (“APA”).","1 Fore Street Avenue, Moorgate, London EC2Y 9DT",,https://interests-api.parliament.uk/api/v1/Interests/12469,,,,,,
12483,Adviser - Bloomsbury Home Care Limited,,2025-05-21,2025-05-21,,Employment and earnings,3912,Richard Fuller,Adviser,2025-05-01,,False,Bloomsbury Home Care Limited,False,False,Home Care,"5 Station Road, Thorpe-Le-Soken, Clacton on Sea CO16 0HY",,https://interests-api.parliament.uk/api/v1/Interests/12483,,,,,,
12180,Writing Article - Mail on Sunday,,2025-05-12,2025-05-12,,Employment and earnings,5030,Dr Simon Opher,Writing Article,,,False,Mail on Sunday,False,False,newspaper,"Northcliffe House, 2, Derry St, London W85TT",,https://interests-api.parliament.uk/api/v1/Interests/12180,,,,,,
12321,Member of the Advisory Board of Steps Together Group - Steps Together Group Ltd,,2025-04-30,2025-05-01,,Employment and earnings,4651,Dan Carden,Member of the Advisory Board of Steps Together Group,2025-04-01,,False,Steps Together Group Ltd,False,False,Addiction rehabilitation and treatment services,"Rear Ground Floor, Hygeia Building, 66-68 College Road, Harrow, Middlesex HA1 1BE",,https://interests-api.parliament.uk/api/v1/Interests/12321,,,,,,
12316,Speaking - Washington Speakers Bureau,,2025-04-29,2025-04-29,,Employment and earnings,4483,Rishi Sunak,Speaking,,,False,Washington Speakers Bureau,False,False,,"1275 New Jersey Ave SE, Suite 403 Washington, DC 20003",True,https://interests-api.parliament.uk/api/v1/Interests/12316,,,,,,
