ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,ShareholdingThreshold,RegistrableDate,EndDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy,Link,Updated_2
13538,Shares in Lockhouse Systems Ltd,,2025-10-14,2025-10-14,,Shareholdings,4495,Kit Malthouse,(i) Shareholdings: over 15% of issued share capital,2025-10-08,,Lockhouse Systems Ltd,Software and Technology Development,,,https://interests-api.parliament.uk/api/v1/Interests/13538,
13324,Shares in Oberons Petroleum Limited,,2025-09-17,2025-09-17,,Shareholdings,4108,Sir Gavin Williamson,(i) Shareholdings: over 15% of issued share capital,2025-08-12,,Oberons Petroleum Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/13324,
13195,Shares in Veterinary Voices Ltd,,2025-09-01,2025-09-01,,Shareholdings,5304,Dr Danny Chambers,(i) Shareholdings: over 15% of issued share capital,,,Veterinary Voices Ltd,To foster public understanding of veterinary and animal welfare issues.,,,https://interests-api.parliament.uk/api/v1/Interests/13195,
8503,Shares in Pangaea Group Holdings Ltd,,2024-07-31,2025-08-14,2025-08-13,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,2025-08-06,Pangaea Group Holdings Ltd,"Insurance holding company, funded through Pangea Loanco Ltd",,,https://interests-api.parliament.uk/api/v1/Interests/8503,
13115,Shares in BSU Holdings Limited,,2025-08-13,2025-08-14,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",2025-08-06,,BSU Holdings Limited,Financial Services,,,https://interests-api.parliament.uk/api/v1/Interests/13115,
12835,Shares in Blue International Holdings Limited,,2025-07-09,2025-07-09,,Shareholdings,4051,John Glen,"(ii) Other shareholdings, valued at more than £70,000",2025-06-26,,Blue International Holdings Limited,"Blue International Holdings is an integrated mining and energy company focused on owning and operating strategic and impactful projects in Sub-Saharan Africa. 

The company is registered in the UK and is owned by UK and US based private investors and has been operating in sub Saharan Africa since 2011.",,,https://interests-api.parliament.uk/api/v1/Interests/12835,
12831,Shares in Future Global Resources Ltd,,2025-07-08,2025-07-08,,Shareholdings,4051,John Glen,"(ii) Other shareholdings, valued at more than £70,000",2025-06-26,,Future Global Resources Ltd,Future Global Resources is an owner and operator of long-life gold mines which it is developing into high quality and sustainable producers of gold at an attractive All in Sustaining Cost.,,,https://interests-api.parliament.uk/api/v1/Interests/12831,
12763,Shares in 315 Holding Company Pte Ltd (Nhi Dong 315),,2025-06-30,2025-06-30,,Shareholdings,5325,Charlie Maynard,"(ii) Other shareholdings, valued at more than £70,000",,2025-02-14,315 Holding Company Pte Ltd (Nhi Dong 315),Chain of Vietnamese health clinics,,,https://interests-api.parliament.uk/api/v1/Interests/12763,
12579,Shares in Teifi Valley Against Pylons Ltd,,2025-06-13,2025-06-13,,Shareholdings,5177,Ann Davies,(i) Shareholdings: over 15% of issued share capital,2025-04-18,,Teifi Valley Against Pylons Ltd,A company created to fundraise in order to help landowners along the Teifi/Tywi and Tywi/Usk Pylon path,,,https://interests-api.parliament.uk/api/v1/Interests/12579,
12481,Shares in Aubergine Home Ltd,,2025-05-21,2025-05-21,,Shareholdings,5403,Sarah Pochin,(i) Shareholdings: over 15% of issued share capital,,,Aubergine Home Ltd,"(domant, never traded)",,,https://interests-api.parliament.uk/api/v1/Interests/12481,
