ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link
14457,"Payment received on 14 January 2026 - £11,050.00",14243,2026-02-02,2026-02-02,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2026-01-14,,Monetary,,11050.00,13.00,For work undertaken between 1 and 31 December 2025,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14457
14458,"Payment received on 14 January 2026 - £7,500.00",4711,2026-02-02,2026-02-02,,Employment and earnings - Ad hoc payments,1508,Sir Geoffrey Cox,True,2026-01-14,,Monetary,,7500.00,7.50,For work undertaken between 1 October and 31 December 2025,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14458
14456,"Payment received on 07 January 2026 - £1,131.00",5988,2026-01-31,2026-02-02,,Employment and earnings - Ad hoc payments,5067,Tony Vaughan,True,2026-01-07,,Monetary,all work carried out prior to July 2024,1131.00,3.00,approximate,True,confidential,False,confidential,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14456
14451,"Payment received on 16 January 2026 - £27,400.66",11826,2026-01-30,2026-02-02,,Employment and earnings - Ad hoc payments,4483,Rishi Sunak,True,2026-01-16,,Monetary,"Part of a quarterly stipend to cover expenses, including travel, necessary to attend meetings and conferences.",27400.66,20.00,This payment is purely to cover expenses so not for hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14451
14460,Payment received on 29 January 2026 - £347.00,5336,2026-02-02,2026-02-02,,Employment and earnings - Ad hoc payments,4088,Ms Stella Creasy,True,2026-01-29,,Monetary,"Writing an article for the guardian, payment to be allocated to my staffing budget",347.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14460
14466,Payment received on 29 January 2026 - £850.00,14465,2026-02-02,2026-02-02,,Employment and earnings - Ad hoc payments,4651,Dan Carden,True,2026-01-29,,Monetary,Article published in the Mail on Sunday on 4th January 2026,850.00,4.00,,False,,False,,,True,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/14466
14444,"Payment received on 29 January 2026 - £4,000.00",12266,2026-01-30,2026-01-30,,Employment and earnings - Ad hoc payments,4095,Steve Barclay,True,2026-01-29,,Monetary,,4000.00,10.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14444
14445,Payment received on 06 March 2025 - £296.68,5336,2026-01-30,2026-01-30,,Employment and earnings - Ad hoc payments,4088,Ms Stella Creasy,True,2025-03-06,,Monetary,"Writing an article, payment to be allocated to my staffing budget",296.68,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14445
14337,Payment received on 27 November 2025 - £150.00,5336,2026-01-30,2026-01-30,,Employment and earnings - Ad hoc payments,4088,Ms Stella Creasy,True,2025-11-27,,Monetary,"for an article written in November 2025, payment to be allocated to my staffing budget",150.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14337
14428,Payment received on 16 January 2026 - £650.00,12101,2026-01-27,2026-01-28,,Employment and earnings - Ad hoc payments,146,Barry Gardiner,True,2026-01-16,,Monetary,,650.00,20.00,Estimated as time required for research and travel,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14428
14429,"Payment received on 22 January 2026 - £1,000.00",12619,2026-01-27,2026-01-28,,Employment and earnings - Ad hoc payments,146,Barry Gardiner,True,2026-01-22,,Monetary,,1000.00,40.00,estimated includes preparation for seminar and speeches,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14429
14432,"Payment received on 28 January 2026 - £1,573.00",6053,2026-01-28,2026-01-28,,Employment and earnings - Ad hoc payments,5357,Ayoub Khan,True,2026-01-28,,Monetary,,1573.00,176.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14432
14409,"Payment received on 23 January 2026 - £1,273.85",11698,2026-01-26,2026-01-27,,Employment and earnings - Ad hoc payments,5360,David Pinto-Duschinsky,True,2026-01-23,,Monetary,,1273.85,0.00,"This is a payment in respect to my previous employment. It is an amount owing from my employment as an EY Partner, which ended in May 2024 prior to my election",False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14409
14413,Payment received on 21 January 2026 - £504.14,9226,2026-01-26,2026-01-27,,Employment and earnings - Ad hoc payments,5091,Nigel Farage,True,2026-01-21,,Monetary,,504.14,4.00,This is an estimate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14413
14414,Payment received on 07 January 2026 - £794.78,9226,2026-01-26,2026-01-27,,Employment and earnings - Ad hoc payments,5091,Nigel Farage,True,2026-01-07,,Monetary,,794.78,4.00,This is an estimate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14414
14426,Payment received on 15 January 2026 - £320.00,14425,2026-01-27,2026-01-27,,Employment and earnings - Ad hoc payments,152,Sir Iain Duncan Smith,True,2026-01-15,,Monetary,,320.00,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14426
14398,Payment received on 21 January 2026 - £137.92,11502,2026-01-23,2026-01-26,,Employment and earnings - Ad hoc payments,4743,Lee Anderson,True,2026-01-21,,Monetary,,137.92,9.00,Hours: 9 hrs. This is an estimated amount of hours.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14398
14390,"Payment received on 12 January 2026 - £10,000.00",11622,2026-01-22,2026-01-23,,Employment and earnings - Ad hoc payments,4441,Sir Oliver Dowden,True,2026-01-12,,Monetary,,10000.00,20.00,Up to two days per month,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14390
14379,Payment received on 31 December 2025 - £430.56,13468,2026-01-21,2026-01-22,,Employment and earnings - Ad hoc payments,5198,Chris Coghlan,True,2025-12-31,,Monetary,Army Reservist pay,430.56,25.00,Estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14379
14316,"Payment received on 02 January 2026 - £35,000.00",12767,2026-01-19,2026-01-19,,Employment and earnings - Ad hoc payments,4441,Sir Oliver Dowden,True,2026-01-02,,Monetary,,35000.00,56.00,7 days,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14316
14343,Payment received on 15 January 2026 - £760.00,14342,2026-01-16,2026-01-16,,Employment and earnings - Ad hoc payments,4107,Dame Harriett Baldwin,True,2026-01-15,,Monetary,The whole payment was donated to a charity in my constituency,760.00,2.00,,False,,False,,,True,Paid direct to the recipient by the payer,Charity,,https://interests-api.parliament.uk/api/v1/Interests/14343
14334,Payment received on 14 January 2026 - £489.20,11729,2026-01-15,2026-01-15,,Employment and earnings - Ad hoc payments,4118,Sir Julian Smith,True,2026-01-14,,Monetary,Payment received for expenses incurred in December 2025,489.20,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14334
14335,"Payment received on 17 December 2025 - £1,049.41",11729,2026-01-15,2026-01-15,,Employment and earnings - Ad hoc payments,4118,Sir Julian Smith,True,2025-12-17,,In kind,Travel paid for a trip to Bern December 2025,1049.41,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14335
14326,Payment received on 23 December 2025 - £750.00,10669,2026-01-13,2026-01-13,,Employment and earnings - Ad hoc payments,4475,Suella Braverman,True,2025-12-23,Writing an article,Monetary,for writing an article for the LBC website/app,750.00,3.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14326
14327,Payment received on 23 December 2025 - £750.00,10930,2026-01-13,2026-01-13,,Employment and earnings - Ad hoc payments,4475,Suella Braverman,True,2025-12-23,,Monetary,Article,750.00,3.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/14327
