ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link
11215,Payment received on 25 October 2024 - £713.40,4865,2024-11-04,2024-11-11,,Employment and earnings - Ad hoc payments,4592,Dr Caroline Johnson,True,2024-10-25,,Monetary,,713.40,0.00,A backdated amount of £713.40 was also received in the pay packet of 25 October 2024,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11215
11235,Payment received on 18 October 2024 - £300.00,11234,2024-11-11,2024-11-11,,Employment and earnings - Ad hoc payments,4480,Carolyn Harris,True,2024-10-18,,Monetary,,300.00,7.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11235
11236,Payment received on 31 October 2024 - £300.00,11234,2024-11-11,2024-11-11,,Employment and earnings - Ad hoc payments,4480,Carolyn Harris,True,2024-10-31,,Monetary,,300.00,7.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11236
11196,"Payment received on 31 October 2024 - £2,400.00",10573,2024-11-06,2024-11-07,,Employment and earnings - Ad hoc payments,5082,Jake Richards,True,2024-10-31,,Monetary,Payment for work undertaken prior to being elected as an MP,2400.00,0.00,none since my election,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11196
11211,"Payment received on 07 November 2024 - £1,466.67",6031,2024-11-07,2024-11-07,,Employment and earnings - Ad hoc payments,5197,Dr Neil Shastri-Hurst,True,2024-11-07,,Monetary,,1466.67,7.33,Approximate hours worked,True,Lime Clinical Negligence,False,"Two Colton Square, Leicester, LE1 1QH",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11211
11210,"Payment received on 06 November 2024 - £1,950.00",6031,2024-11-07,2024-11-07,,Employment and earnings - Ad hoc payments,5197,Dr Neil Shastri-Hurst,True,2024-11-06,,Monetary,,1950.00,5.50,,True,Wadsworth Solicitors Limited,False,"325 Stratford Road, Shirley, Solihull, West Midlands B90 3BL",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11210
11209,Payment received on 05 December 2024 - £80.00,6031,2024-11-07,2024-11-07,,Employment and earnings - Ad hoc payments,5197,Dr Neil Shastri-Hurst,True,2024-12-05,,Monetary,,80.00,1.00,Number of hours approximate,True,Thompsons Solicitors LLP,False,"Building 3, Eturia Valley Office Village, Etruria, Stoke on Trent ST1 5RQ",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11209
11198,"Payment received on 03 October 2024 - £4,500.00",10573,2024-11-06,2024-11-07,,Employment and earnings - Ad hoc payments,5082,Jake Richards,True,2024-10-03,,Monetary,,4500.00,40.00,estimate of hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11198
11197,"Payment received on 21 October 2024 - £1,500.00",10573,2024-11-06,2024-11-07,,Employment and earnings - Ad hoc payments,5082,Jake Richards,True,2024-10-21,,Monetary,Payment for work undertaken prior to being elected as an MP,1500.00,15.00,Payment for work undertaken prior to being elected as an MP. The hours are an estimate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11197
11183,"Payment received on 29 October 2024 - £3,000.00",10930,2024-11-05,2024-11-06,,Employment and earnings - Ad hoc payments,4475,Suella Braverman,True,2024-10-29,,Monetary,For articles,3000.00,12.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11183
